,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.05,30.79,inf,0.25,inf,1.42,0.5,0.33,2.12,76.26,inf,132.51,49.25,6.67,3.31,8.08,0.07,15.64,0.6
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.26,inf,1.87,0.49,0.32,1.41,75.93,inf,101.21,29.33,4.02,1.98,6.45,0.07,12.35,-6.95
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.23,inf,1.44,0.5,0.31,1.39,75.35,inf,112.9,28.14,3.89,1.93,7.28,0.07,9.32,-16.05
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.2,inf,1.38,0.49,0.32,1.61,76.58,inf,107.76,39.01,5.35,2.6,6.87,0.07,6.68,-5.69
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.18,inf,0.87,0.5,0.29,1.35,79.04,inf,149.77,50.59,6.84,3.44,8.91,0.07,6.29,-3.48
2019,0.91,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.19,-3.64,-4.72,0.59,0.31,6.44,73.08,44.39,34.18,2.96,0.34,0.2,2.74,0.07,18.45,-32.48
2020,inf,45.85,1.18,16.2,24.21,9.72,0.71,5.58,-0.85,13.31,19.89,0.64,24.63,inf,-0.21,-2.89,-4.32,0.6,0.3,4.37,66.2,59.99,40.15,21.2,2.58,1.55,3.37,0.07,19.22,11.73
2021,1.05,20.94,0.85,9.05,11.75,6.14,0.52,5.49,-0.62,7.09,9.2,1.03,25.39,inf,-0.18,-1.96,-2.54,0.61,0.3,2.44,67.92,67.86,52.26,29.31,4.07,2.47,6.0,0.08,22.33,23.34
2022,2.26,29.0,0.57,inf,4.15,4.07,0.37,2.01,-0.5,inf,1.8,0.59,29.64,-0.67,-0.38,inf,-2.35,0.55,0.36,3.22,127.89,inf,98.04,14.03,2.29,1.27,13.41,0.09,25.65,2.4
2023,2.18,64.8,1.28,8.17,9.27,9.09,0.82,4.49,-1.12,6.1,6.92,0.27,13.72,-1.5,-0.33,-2.07,-2.35,0.64,0.36,3.22,127.89,111.25,98.04,14.03,1.98,1.27,13.41,0.09,25.65,2.4
