,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-21.85,1.16,6.91,9.73,0.45,0.47,3.88,-0.99,7.68,10.82,-1.03,19.37,-9.29,0.13,0.77,1.09,0.4,0.6,1.3,24.22,6.48,4.6,-2.05,-5.3,-2.14,4.93,1.04,17.0,inf
2015,inf,-9.3,1.44,5.97,9.44,0.43,0.39,1.94,-0.83,8.47,13.4,-1.64,10.59,-0.06,0.6,2.5,3.96,0.27,0.73,1.61,19.83,7.23,4.57,-4.64,-15.46,-4.21,5.79,0.91,17.22,inf
2016,inf,-5.4,0.85,4.02,7.27,0.31,0.26,1.44,-0.49,7.54,13.64,-1.89,11.96,-0.33,0.75,3.52,6.37,0.3,0.7,1.58,19.91,7.59,4.2,-5.65,-15.79,-4.74,1.69,0.84,15.24,inf
2017,inf,-22.54,2.37,26.78,843.53,1.48,0.73,2.84,-1.64,31.93,inf,-0.91,8.63,1.47,0.46,5.15,162.36,0.31,0.69,1.88,21.14,5.51,0.17,-6.55,-10.53,-3.26,-1.95,0.5,5.49,inf
2018,inf,-47.97,5.39,46.24,-834.81,2.94,1.46,4.99,-3.18,50.62,-913.96,-0.88,7.8,14.08,0.51,4.38,-79.15,0.27,0.73,2.19,25.81,6.35,-0.35,-6.13,-11.24,-3.05,-2.06,0.5,1.28,inf
2019,inf,-90.32,5.01,45.62,277.31,4.25,1.79,6.24,-4.34,45.54,276.83,-0.7,12.54,inf,-0.01,-0.08,-0.48,0.36,0.64,1.95,29.72,9.31,1.53,-4.7,-5.55,-1.98,-0.34,0.42,-3.2,inf
2020,inf,-200.85,4.46,48.77,234.43,4.18,1.87,4.05,-6.2,44.99,216.24,-0.38,16.94,inf,-0.35,-3.78,-18.18,0.42,0.58,2.96,28.42,8.57,1.78,-2.08,-2.22,-0.93,0.82,0.45,2.35,inf
2021,inf,52.48,1.79,13.34,37.74,1.26,0.64,3.33,-1.26,15.86,44.9,0.6,17.61,inf,0.34,2.53,7.15,0.36,0.64,1.64,29.79,9.43,3.33,2.4,3.42,1.22,0.69,0.51,21.42,inf
2022,6.43,203.01,0.58,2.79,7.43,0.31,0.2,0.98,-0.36,5.65,15.08,0.05,16.74,-5.27,0.59,2.87,7.64,0.35,0.65,1.84,30.68,11.16,4.18,0.15,0.28,0.1,1.24,0.65,21.42,inf
2023,inf,21.04,0.06,0.29,0.77,0.03,0.02,0.1,-0.04,3.15,8.42,0.05,16.74,-0.55,0.59,2.87,7.64,0.35,0.65,1.84,30.68,11.16,4.18,0.15,0.28,0.1,1.24,0.65,21.42,inf
