,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,0.31,17.76,4.91,20.53,24.1,4.22,3.1,18.05,-4.82,20.48,24.04,1.99,7.2,inf,-0.01,-0.05,-0.06,0.63,0.37,1.93,46.5,20.58,17.53,23.78,27.65,17.47,13.86,0.73,inf,inf
2015,3.43,17.81,1.78,11.72,16.41,1.37,0.97,7.33,-1.46,13.47,18.85,0.77,7.75,-0.29,0.26,1.74,2.44,0.55,0.45,1.66,41.0,11.68,8.34,7.69,10.0,5.46,6.42,0.71,31.2,inf
2016,1.38,54.18,1.78,11.5,20.14,1.18,0.81,6.81,-1.18,13.5,23.63,0.25,7.67,-0.8,0.31,2.0,3.5,0.46,0.54,1.62,36.32,10.23,5.84,2.17,3.28,1.5,5.38,0.69,30.45,inf
2017,0.22,26.9,3.29,16.66,26.58,2.19,1.71,12.15,-2.47,17.83,28.44,1.05,8.6,0.09,0.23,1.16,1.86,0.52,0.48,1.85,38.17,13.15,8.24,8.14,12.23,6.36,5.07,0.78,26.43,29.36
2018,1.49,611.31,2.07,14.8,35.6,1.25,0.95,7.79,-1.33,17.07,41.07,0.03,8.22,-6.28,0.32,2.27,5.47,0.46,0.54,1.76,35.86,8.43,3.51,0.2,0.34,0.16,3.48,0.76,19.04,-43.28
2019,0.02,-243.95,3.39,12.56,19.51,1.98,0.98,20.17,-1.2,18.27,28.37,-0.12,8.79,inf,1.54,5.71,8.86,0.29,0.71,1.34,43.16,15.77,10.15,-0.81,-1.39,-0.4,6.03,0.49,11.24,inf
2020,inf,-117.9,1.93,23.47,41.01,3.41,1.06,2.91,-1.96,23.66,41.34,-0.31,18.61,inf,0.02,0.19,0.33,0.55,0.45,4.78,51.8,14.52,8.31,-2.89,-1.64,-0.9,2.96,0.31,11.24,inf
2021,inf,-38.7,1.42,4.82,12.07,1.28,0.34,44.17,-0.4,11.27,28.22,-0.22,5.9,inf,1.91,6.45,16.16,0.24,0.76,1.06,52.85,26.56,10.61,-3.31,-3.68,-0.89,3.08,0.27,22.51,inf
2022,inf,-4.17,0.58,1.63,4.04,0.44,0.15,4.81,-0.19,5.64,14.03,-0.93,6.66,0.0,1.43,4.02,9.99,0.26,0.71,1.18,56.74,27.01,10.86,-10.54,-13.91,-3.57,3.94,0.34,22.51,inf
2023,inf,-2.71,0.38,1.06,2.63,0.29,0.1,3.13,-0.12,5.07,12.62,-0.93,6.66,0.0,1.43,4.02,9.99,0.26,0.71,1.18,56.74,27.01,10.86,-10.54,-13.91,-3.57,3.94,0.34,22.51,inf
