,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,40.27,inf,inf,0.07,inf,1.72,0.62,0.38,3.09,51.61,inf,14.93,10.94,2.79,1.72,2.09,0.16,1.83,18.03
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,16.69,inf,inf,0.06,inf,2.52,0.66,0.34,6.44,47.53,inf,9.63,4.79,1.12,0.73,0.83,0.15,-1.72,-7.43
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-79.39,inf,inf,0.11,inf,-3.32,0.65,0.35,4.36,44.85,inf,-28.11,-43.79,-5.33,-3.47,-3.7,0.08,-14.14,inf
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.2,inf,-2.62,0.58,0.42,2.43,43.56,inf,-53.96,-79.81,-11.06,-6.42,-6.65,0.08,-15.7,inf
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-621.94,inf,inf,0.23,inf,-28.21,0.56,0.44,1.62,51.28,inf,-6.0,-36.13,-4.98,-2.77,-1.36,0.08,-14.24,inf
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-990.86,inf,inf,0.15,-7.67,-3.81,0.54,0.46,1.05,38.5,-10.07,-20.25,-41.37,-7.78,-4.21,-4.02,0.1,-8.24,inf
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.01,-0.05,-0.06,0.54,0.46,2.49,62.3,408.5,395.51,366.91,25.01,13.52,20.98,0.04,-22.74,83.98
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-688.52,inf,inf,-0.07,0.67,0.61,0.46,0.54,4.67,100.0,-96.84,-105.73,-53.03,-5.51,-2.54,-14.51,0.05,-6.46,inf
2022,inf,10.75,0.27,inf,-20.21,1.74,0.13,0.37,-0.22,inf,-7.12,325.57,inf,-0.07,-0.09,inf,6.69,0.48,0.52,6.73,101.56,inf,-8.62,16.21,2.49,1.19,-6.4,0.07,-6.46,inf
2023,inf,10.75,0.27,inf,-20.21,1.74,0.13,0.37,-0.22,inf,-7.12,325.57,inf,-0.07,-0.09,inf,6.69,0.48,0.52,6.73,101.56,inf,-8.62,16.21,2.49,1.19,-6.4,0.07,-6.46,inf
