,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,-0.03,inf,inf,inf,0.0,-13.83,14.83,0.07,inf,inf,inf,inf,-12.97,-179.38,6.23,0.0,inf,inf
2015,inf,inf,-10.6,inf,-519.27,inf,146.69,325.54,inf,inf,-519.27,0.0,-0.03,170.1,inf,inf,0.0,0.0,1.0,inf,inf,inf,inf,inf,inf,-0.87,inf,0.0,inf,inf
2016,inf,inf,-115.66,inf,inf,inf,inf,inf,inf,inf,inf,0.0,-0.03,-2.28,inf,inf,0.03,-13.85,14.85,13.34,inf,inf,inf,inf,-1.8,-24.87,4.33,0.0,inf,inf
2017,inf,17.58,-17.58,-65.1,-65.1,inf,14.31,15.19,inf,-60.55,-60.55,0.19,-0.19,-0.01,inf,inf,4.55,-0.81,1.86,9.88,inf,inf,inf,inf,-99.98,81.38,42.65,0.0,inf,inf
2018,inf,7.28,17.09,inf,11.45,9.44,4.6,4.67,-973.97,inf,10.34,0.34,0.14,0.1,-1.66,inf,-1.11,0.27,0.73,83.4,100.0,inf,82.43,129.57,234.64,63.1,132.22,0.49,inf,inf
2019,inf,16.52,6.81,13.95,14.21,3.69,2.39,2.59,-264.4,9.48,9.66,0.1,0.25,inf,-2.18,-4.46,-4.55,0.32,0.59,13.92,100.0,26.46,25.98,22.35,41.21,13.21,46.21,0.59,inf,inf
2020,inf,5.46,4.63,6.77,6.82,2.18,2.47,2.97,-113.48,5.29,5.32,0.59,0.7,inf,-1.02,-1.49,-1.5,0.53,0.47,6.76,100.0,32.24,32.02,40.02,84.86,45.26,63.27,1.13,inf,inf
2021,10.0,10.33,3.96,inf,11.12,2.23,2.35,2.65,-89.31,inf,7.95,0.29,0.76,inf,-1.13,inf,-3.17,0.59,0.41,11.15,99.37,inf,20.03,21.57,38.38,22.7,33.95,1.05,inf,inf
2022,2.78,5.89,2.52,inf,6.26,1.64,1.68,1.9,-83.86,inf,3.75,0.42,0.99,0.09,-1.01,inf,-2.51,0.67,0.33,10.55,97.47,inf,26.26,27.93,42.73,28.61,37.08,1.02,inf,19.78
2023,2.42,6.77,2.89,inf,7.2,1.89,1.94,2.18,-96.37,inf,4.69,0.42,0.99,0.1,-1.01,inf,-2.51,0.67,0.33,10.55,97.47,inf,26.26,27.93,42.73,28.61,37.08,1.02,inf,19.78
