,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.65,inf,5.87,0.07,0.93,0.64,18.26,inf,6.91,-1.12,-15.62,-1.04,10.3,0.93,inf,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-24.25,-0.05,1.05,0.46,9.92,inf,-2.68,-17.18,-274.09,-13.71,-3.85,0.8,inf,inf
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.09,4.8,9.01,0.12,0.88,0.53,18.27,9.68,5.16,-1.89,-12.61,-1.5,3.98,0.79,inf,inf
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.59,1.44,1.95,0.27,0.73,0.99,23.19,14.95,11.1,6.79,18.67,5.13,12.59,0.76,inf,inf
2018,inf,107.32,-75.93,53.04,85.84,4.93,2.82,-26.71,-3.63,55.42,89.69,0.34,-0.47,inf,0.64,2.37,3.84,0.27,0.73,0.87,17.45,9.29,5.74,4.59,13.28,3.56,5.0,0.78,inf,inf
2019,inf,-30.46,-20.8,29.57,-61.24,6.4,3.81,-26.88,-4.86,8.72,-18.07,-1.91,-2.8,inf,inf,0.73,-1.51,-0.18,1.18,0.6,0.66,21.63,-10.45,-21.0,-68.29,-12.52,inf,0.6,14.54,inf
2020,inf,-4.57,-3.5,121.71,-35.36,8.61,3.13,-10.32,-4.77,43.44,-12.62,-8.61,-11.24,inf,inf,10.34,-3.0,-0.9,1.9,0.53,4.97,7.08,-24.36,-188.62,-76.58,-68.6,24.18,0.36,-1.7,inf
2021,inf,-7.3,-1.68,19.23,561.31,3.08,1.66,-5.25,-2.42,18.92,552.3,-3.34,-14.52,inf,inf,13.65,398.47,-0.99,1.99,0.5,18.56,16.03,0.55,-42.23,-22.98,-22.73,0.83,0.54,8.38,inf
2022,inf,-19.27,-0.73,3.95,9.74,0.87,0.74,-1.37,-1.01,7.49,18.46,-0.57,-15.03,0.23,inf,6.4,15.77,-1.02,2.02,0.32,17.47,22.1,8.96,-4.53,-3.8,-3.86,33.94,0.85,15.41,inf
2023,inf,-21.06,-0.8,inf,10.64,0.95,0.81,-1.49,-1.1,inf,18.7,-0.57,-15.03,0.25,inf,inf,15.77,-1.02,2.02,0.32,17.47,inf,8.96,-4.53,-3.8,-3.86,33.94,0.85,15.41,inf
