,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,19.15,0.99,13.99,13.01,9.22,0.74,20.95,-0.83,13.4,12.46,0.51,9.99,-1.98,-0.04,-0.6,-0.55,0.74,0.26,1.47,100.0,65.88,70.85,48.12,5.15,3.83,3.76,0.08,6.09,2.09
2015,inf,8.98,1.08,8.7,8.6,8.92,0.75,3.01,-1.12,6.15,6.08,1.21,10.11,0.07,-0.32,-2.55,-2.52,0.7,0.3,4.14,100.0,102.54,103.69,99.35,12.01,8.37,8.14,0.08,3.14,13.98
2016,3.05,20.71,1.57,25.1,27.36,12.9,0.96,3.76,-1.53,20.22,22.04,0.8,10.5,-0.6,-0.31,-4.88,-5.32,0.61,0.39,3.17,100.0,51.4,47.16,62.32,7.59,4.64,3.65,0.07,4.03,6.65
2017,1.99,36.19,1.93,21.34,31.6,12.77,1.25,44.5,-1.51,21.33,31.6,0.63,11.8,-3.49,0.0,-0.01,-0.01,0.65,0.35,1.19,100.0,59.85,40.4,35.29,5.33,3.45,4.02,0.1,12.21,3.83
2018,2.62,26.45,2.21,16.51,23.08,11.43,1.47,32.1,-1.83,15.82,22.1,1.01,12.16,0.43,-0.09,-0.7,-0.98,0.66,0.34,1.3,100.0,69.19,49.51,43.2,8.34,5.54,7.25,0.13,17.84,14.06
2019,2.7,32.6,3.49,20.77,27.38,14.98,2.21,36.66,-2.99,19.58,25.8,1.32,12.33,inf,-0.2,-1.2,-1.58,0.63,0.37,1.3,100.0,72.1,54.71,45.94,10.69,6.78,8.76,0.15,23.81,22.67
2020,3.47,30.47,5.16,19.05,22.58,13.56,2.73,17.04,-4.33,17.78,21.07,2.02,11.9,inf,-0.34,-1.27,-1.51,0.53,0.47,1.77,89.87,71.2,60.06,44.52,16.94,8.96,13.42,0.2,33.29,13.52
2021,15.28,14.47,3.05,9.26,10.8,6.63,1.3,8.39,-2.17,8.59,10.02,0.77,3.66,inf,-0.22,-0.67,-0.78,0.43,0.57,1.63,89.89,71.67,61.44,45.85,21.05,8.98,12.35,0.2,34.69,26.67
2022,3.66,19.06,3.97,12.15,14.44,7.97,1.69,10.3,-2.64,11.73,13.94,0.69,3.33,-1.83,-0.14,-0.42,-0.5,0.43,0.57,1.84,89.92,65.56,55.17,41.8,20.85,8.88,12.39,0.21,22.44,26.66
2023,3.85,14.25,2.97,9.09,10.8,5.96,1.27,7.7,-1.98,8.66,10.3,0.73,3.49,-1.37,-0.14,-0.42,-0.5,0.43,0.57,1.84,89.92,65.56,55.17,41.8,20.84,8.88,12.39,0.21,22.44,26.66
