,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,39.42,10.23,1.59,inf,6.82,1.01,0.86,2.29,-2.54,inf,inf,1.17,7.53,-0.82,0.09,inf,0.37,0.54,0.4,2.31,63.21,inf,14.83,9.89,15.58,8.4,10.97,0.85,6.42,48.69
2015,6.14,6.31,1.03,inf,5.77,0.79,0.55,1.36,-1.66,inf,inf,1.44,8.79,0.28,0.09,inf,0.51,0.53,0.41,2.52,60.65,inf,13.75,12.59,16.38,8.72,7.48,0.69,3.4,38.02
2016,5.63,26.38,0.91,inf,9.05,0.7,0.47,1.51,-1.05,inf,inf,0.31,8.94,-0.34,0.2,inf,2.01,0.51,0.42,2.24,61.93,inf,7.77,2.67,3.44,1.77,4.63,0.66,3.88,-15.34
2017,0.43,127.76,0.97,inf,32.95,0.79,0.48,1.72,-1.13,inf,inf,0.07,9.04,-1.65,0.18,inf,6.13,0.49,0.44,1.92,57.83,inf,2.38,0.62,0.76,0.37,0.47,0.61,1.93,-39.69
2018,0.21,49.73,1.46,inf,26.51,1.14,0.72,2.48,-1.84,inf,28.08,0.28,9.55,0.16,0.24,inf,4.39,0.5,0.45,1.93,56.26,inf,4.31,2.3,2.93,1.45,1.46,0.63,1.96,-26.83
2019,inf,15.36,0.96,8.69,11.74,0.64,0.5,1.83,-1.22,11.02,14.89,0.64,10.26,inf,0.17,1.58,2.14,0.53,0.43,1.88,51.76,7.41,5.48,4.19,6.22,3.28,2.12,0.78,5.12,-11.47
2020,7.52,9.03,1.36,7.47,8.91,0.94,0.72,2.31,-1.82,8.04,9.59,1.74,11.54,inf,-0.11,-0.63,-0.75,0.53,0.43,2.05,50.03,12.63,10.6,10.45,15.06,7.94,8.91,0.76,7.78,3.83
2021,3.16,7.97,0.98,7.72,10.71,0.95,0.56,1.29,-1.8,7.14,9.91,1.63,13.29,inf,-0.17,-1.36,-1.89,0.57,0.42,2.67,56.16,12.32,8.87,11.93,12.26,7.0,5.59,0.59,3.42,39.56
2022,2.51,3.81,0.72,3.57,4.27,0.66,0.43,0.96,-1.37,3.16,3.78,2.63,13.9,0.02,-0.14,-0.7,-0.83,0.6,0.4,2.93,57.07,18.56,15.53,17.43,18.9,11.35,12.7,0.65,3.42,53.56
2023,3.68,3.69,0.7,3.47,4.14,0.64,0.42,0.93,-1.33,2.81,3.36,2.63,13.9,0.02,-0.14,-0.7,-0.83,0.6,0.4,2.93,57.07,18.56,15.53,17.43,18.9,11.35,12.7,0.65,3.42,53.56
