,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,1.74,5.86,2.31,3.69,3.99,0.46,1.13,4.25,-3.37,2.88,3.12,1.83,4.64,-4.83,-0.51,-0.81,-0.87,0.49,0.51,1.67,30.79,12.45,11.5,7.83,39.35,19.34,38.33,2.47,17.4,inf
2015,6.08,7.09,1.38,4.48,5.41,0.34,0.71,6.93,-1.43,3.78,4.57,1.06,5.45,-0.17,-0.22,-0.7,-0.84,0.52,0.48,1.26,29.71,7.68,6.36,4.85,19.41,10.05,15.16,2.07,17.15,inf
2016,2.95,6.08,1.36,3.27,4.07,0.35,0.67,4.63,-1.65,2.05,2.55,1.47,6.57,0.15,-0.51,-1.22,-1.52,0.49,0.51,1.32,29.7,10.65,8.56,5.74,22.42,10.99,21.68,1.92,14.28,29.02
2017,3.34,6.1,1.38,3.36,4.1,0.35,0.71,4.12,-1.81,2.25,2.74,1.8,7.94,0.27,-0.46,-1.12,-1.36,0.51,0.49,1.39,26.19,10.47,8.6,5.78,22.71,11.62,22.51,2.01,11.22,18.05
2018,2.38,9.85,2.01,5.52,6.77,0.57,1.1,5.13,-2.87,4.17,5.12,1.92,9.41,1.47,-0.49,-1.34,-1.65,0.55,0.45,1.54,26.17,10.32,8.41,5.78,20.45,11.22,19.92,1.94,8.19,0.82
2019,0.62,15.17,5.68,19.89,25.48,2.26,3.36,19.36,-7.51,18.16,23.27,5.14,13.74,inf,-0.49,-1.73,-2.21,0.59,0.41,1.46,25.27,11.37,8.87,14.91,37.43,22.18,9.01,1.49,8.15,23.02
2020,0.89,21.54,5.5,17.52,20.4,2.65,3.39,46.75,-5.96,16.65,19.38,4.49,17.59,inf,-0.27,-0.87,-1.02,0.62,0.38,1.2,23.26,15.1,12.97,12.28,25.52,15.74,19.16,1.28,10.9,33.53
2021,inf,65.64,4.64,64.61,200.95,2.62,2.84,-36.19,-4.01,63.07,196.18,1.34,18.92,inf,-0.11,-1.54,-4.78,0.61,0.39,0.79,18.96,4.05,1.3,3.99,7.07,4.32,-0.77,1.08,5.51,-1.88
2022,inf,-308.52,4.79,33.58,54.81,2.28,2.88,39.52,-4.96,33.31,54.37,-0.27,17.5,2.56,-0.04,-0.27,-0.44,0.6,0.4,1.21,22.3,6.79,4.16,-0.74,-1.55,-0.93,-1.36,1.26,3.33,inf
2023,inf,-294.76,4.58,32.09,52.37,2.18,2.75,37.76,-4.74,31.82,51.92,-0.27,17.5,2.45,-0.04,-0.27,-0.44,0.6,0.4,1.21,22.3,6.79,4.16,-0.74,-1.55,-0.93,-1.36,1.26,3.33,inf
