,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,3.73,18.61,8.12,inf,15.54,inf,6.19,41.98,-8.67,inf,15.54,1.73,3.96,inf,inf,inf,inf,0.76,0.24,2.07,inf,inf,inf,inf,43.62,33.29,inf,0.0,inf,inf
2015,6.91,11.57,6.42,inf,9.74,inf,4.23,-434.34,-5.46,inf,9.74,2.1,3.79,0.53,inf,inf,inf,0.66,0.34,0.96,inf,inf,inf,inf,55.5,36.6,inf,0.0,inf,inf
2016,5.91,14.1,6.83,inf,12.38,inf,4.51,423.46,-6.08,inf,12.38,2.01,4.14,-3.06,inf,inf,inf,0.66,0.34,1.04,inf,inf,inf,inf,48.42,32.0,inf,0.0,inf,inf
2017,5.77,14.07,6.4,inf,12.14,inf,4.27,33.18,-6.83,inf,12.14,2.02,4.45,15.96,inf,inf,inf,0.67,0.33,1.52,inf,inf,inf,inf,45.5,30.37,inf,0.0,inf,inf
2018,11.23,15.59,8.08,inf,12.5,inf,4.03,35.07,-8.51,inf,12.5,1.77,3.42,-1.24,inf,inf,inf,0.5,0.5,1.28,inf,inf,inf,inf,51.82,25.87,inf,0.0,inf,7.43
2019,4.2,11.32,14.37,inf,8.77,inf,5.05,144.3,-12.18,inf,8.77,3.33,2.62,inf,inf,inf,inf,0.35,0.65,1.06,inf,inf,inf,inf,126.86,44.61,inf,0.0,inf,14.01
2020,9.4,15.39,9.27,inf,12.39,inf,5.44,77.41,-8.14,inf,12.39,1.93,3.19,inf,inf,inf,inf,0.59,0.41,1.27,inf,inf,inf,inf,60.27,35.33,inf,0.0,inf,-1.76
2021,4.8,10.55,5.7,inf,8.41,inf,3.12,36.84,-5.07,inf,8.41,1.97,3.64,inf,inf,inf,inf,0.55,0.45,1.28,inf,inf,inf,inf,54.02,29.54,inf,0.0,inf,-0.41
2022,5.83,11.15,8.88,inf,9.57,inf,4.18,94.57,-7.57,inf,9.57,3.02,3.8,0.21,inf,inf,inf,0.47,0.53,1.11,inf,inf,inf,inf,79.57,37.47,inf,0.0,inf,8.34
2023,8.97,10.76,8.56,inf,9.23,inf,4.03,91.2,-7.3,inf,9.23,3.02,3.8,0.2,inf,inf,inf,0.47,0.53,1.11,inf,inf,inf,inf,79.57,37.47,inf,0.0,inf,8.34
