,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,4.53,0.61,inf,3.36,0.37,0.04,-0.21,-0.09,inf,3.3,0.09,0.67,0.18,inf,inf,inf,0.07,0.93,inf,39.0,inf,10.98,8.15,13.29,0.93,inf,0.11,8.45,-0.84
2015,inf,3.54,0.48,inf,3.15,0.25,0.03,-0.16,-0.07,inf,3.22,0.5,3.67,0.37,inf,inf,inf,0.06,0.94,inf,34.75,inf,7.84,6.99,13.27,0.85,inf,0.12,14.77,1.92
2016,inf,5.77,0.67,inf,3.82,0.29,0.03,-0.21,-0.09,inf,3.79,0.46,4.0,-0.85,inf,inf,inf,0.05,0.95,inf,27.05,inf,7.59,5.03,11.52,0.57,inf,0.11,18.47,12.67
2017,inf,7.25,0.87,inf,4.69,0.46,0.05,-0.7,-0.14,inf,4.49,0.53,4.41,0.49,inf,inf,inf,0.06,0.94,inf,30.78,inf,9.75,6.31,12.06,0.73,inf,0.12,16.91,17.92
2018,4.04,8.73,0.9,inf,5.81,0.62,0.05,-0.49,-0.14,inf,5.69,0.49,4.72,-1.07,inf,inf,inf,0.05,0.95,inf,38.88,inf,10.67,7.1,10.44,0.55,inf,0.08,9.61,6.26
2019,4.46,9.94,1.33,inf,8.48,1.02,0.09,-0.52,-0.19,inf,8.05,0.68,5.09,inf,inf,inf,inf,0.07,0.93,0.1,40.99,inf,12.01,10.24,13.54,0.9,inf,0.09,3.69,8.54
2020,3.53,8.58,1.11,inf,5.73,1.23,0.06,0.91,-0.07,inf,5.33,0.7,5.43,inf,inf,inf,inf,0.06,0.95,inf,56.19,inf,21.5,14.36,13.15,0.73,inf,0.05,-7.16,7.23
2021,5.94,7.89,0.99,inf,5.31,0.83,0.05,0.33,-0.06,inf,4.7,0.73,5.8,inf,inf,inf,inf,0.05,0.95,inf,45.64,inf,15.6,10.49,12.57,0.68,inf,0.06,-5.39,9.6
2022,9.02,5.94,1.03,inf,4.03,0.43,0.06,0.46,-0.06,inf,3.59,1.09,6.31,0.12,inf,inf,inf,0.05,0.95,inf,26.05,inf,10.64,7.23,17.36,0.94,inf,0.13,12.53,15.62
2023,8.27,6.53,1.13,inf,4.44,0.47,0.06,0.51,-0.07,inf,4.04,1.09,6.31,0.18,inf,inf,inf,0.05,0.95,inf,26.05,inf,10.64,7.23,17.36,0.94,inf,0.13,12.53,15.62
