,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.66,26.43,inf,inf,inf,inf,0.07,0.93,1.07,46.51,inf,3.55,1.35,2.5,0.19,inf,0.14,8.81,-29.16
2015,4.81,6.3,0.59,inf,2.92,0.28,0.05,0.83,-0.17,inf,inf,1.78,18.88,0.02,inf,inf,inf,0.08,0.92,1.08,47.08,inf,9.59,4.44,9.41,0.72,inf,0.16,11.49,-13.0
2016,2.49,3.42,0.67,inf,2.15,0.33,0.05,0.78,-0.21,inf,2.44,4.29,21.88,0.02,inf,inf,inf,0.08,0.92,1.1,43.35,inf,15.55,9.78,19.59,1.56,inf,0.16,6.76,-6.35
2017,11.81,6.42,1.49,inf,3.57,0.78,0.11,1.08,-0.49,inf,3.69,5.6,24.15,0.21,inf,inf,inf,0.08,0.92,1.16,55.21,inf,21.86,12.15,23.21,1.76,inf,0.14,6.77,-0.54
2018,4.87,8.68,1.34,inf,4.36,0.85,0.1,-2.46,-0.31,inf,4.45,4.09,26.56,-0.32,inf,inf,inf,0.08,0.92,0.94,58.89,inf,19.48,9.79,15.41,1.19,inf,0.12,6.36,1.4
2019,2.03,7.04,1.36,4.91,5.03,0.86,0.11,-1.73,-0.29,inf,inf,5.47,28.38,inf,inf,inf,inf,0.08,0.92,0.91,58.34,17.59,17.15,12.26,19.27,1.51,inf,0.12,5.66,64.33
2020,2.89,7.63,0.85,4.82,5.12,0.65,0.06,-0.38,-0.13,6.26,6.65,3.56,31.91,inf,inf,inf,inf,0.07,0.93,0.77,71.66,13.58,12.77,8.57,11.14,0.8,inf,0.09,0.74,14.88
2021,5.1,4.45,0.66,2.57,2.6,0.52,0.05,-0.34,-0.11,3.17,3.2,5.48,36.72,inf,inf,inf,inf,0.08,0.92,0.78,60.08,20.43,20.21,11.78,14.92,1.14,inf,0.1,1.19,5.03
2022,6.39,3.47,0.44,2.93,2.92,0.24,0.03,-0.2,-0.07,3.71,3.71,4.94,38.96,-0.35,inf,inf,inf,0.08,0.92,0.75,35.9,8.34,8.36,7.03,12.68,0.97,inf,0.14,8.79,-2.49
2023,14.18,3.52,0.45,inf,2.96,0.25,0.03,-0.2,-0.07,inf,3.56,4.94,38.96,-0.36,inf,inf,inf,0.08,0.92,0.75,35.9,inf,8.36,7.03,12.68,0.97,inf,0.14,8.79,-2.49
