,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-20.32,5.16,inf,-16.24,inf,1.67,5.23,-3.13,inf,-18.17,-0.37,1.45,0.04,0.26,inf,-0.83,0.32,0.68,3.06,inf,inf,inf,inf,-25.4,-8.18,-26.83,0.0,inf,inf
2015,inf,-79.24,9.27,inf,-34.59,inf,2.57,24.72,-3.53,inf,-66.54,-0.08,0.65,1.35,0.33,inf,-1.24,0.28,0.72,1.63,inf,inf,inf,inf,-11.7,-3.25,-21.81,0.0,inf,inf
2016,inf,-0.02,-0.12,inf,-0.03,inf,0.01,-0.06,-0.01,inf,-0.19,-74.89,-14.87,0.0,inf,inf,-0.16,-0.09,1.09,0.07,inf,inf,inf,inf,-503.62,-45.78,inf,0.0,inf,inf
2017,inf,-2.86,-1.93,inf,-2.88,inf,0.04,-0.25,-0.04,inf,-6.73,-0.35,-0.52,0.03,inf,inf,-3.7,-0.02,1.02,0.07,inf,inf,inf,inf,-67.37,-1.47,-45.32,0.0,inf,inf
2018,inf,2.5,2.86,inf,2.12,inf,0.3,-1.24,-0.3,inf,2.38,4.09,3.56,0.0,0.36,inf,0.27,0.1,0.9,0.0,inf,inf,inf,inf,114.71,11.89,98.81,0.0,inf,47.86
2019,inf,-0.07,0.0,inf,-0.08,inf,0.0,-0.01,0.0,inf,-1.4,-32.02,498.72,inf,0.07,inf,-1.31,0.35,0.65,0.0,inf,inf,inf,inf,-6.42,-2.27,-4.88,0.0,inf,inf
2020,inf,-1.06,0.11,inf,-1.09,inf,0.04,-0.2,-0.04,inf,-2.32,-1.29,12.19,inf,0.1,inf,-0.93,0.32,0.68,0.0,inf,inf,inf,inf,-10.59,-3.4,-9.42,0.0,inf,inf
2021,inf,-2.84,0.23,inf,-3.12,inf,0.07,-0.55,-0.07,inf,-4.67,-0.23,2.85,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2022,inf,-1.66,0.14,inf,-1.82,inf,0.04,-0.32,-0.04,inf,-4.91,-0.91,11.21,0.06,0.12,inf,-1.59,0.3,0.7,0.0,inf,inf,inf,inf,-8.15,-2.46,-6.65,0.0,inf,inf
2023,inf,-1.66,0.14,inf,-1.82,inf,0.04,-0.32,-0.04,inf,-4.91,-0.91,11.21,0.06,0.12,inf,-1.59,0.3,0.7,0.0,inf,inf,inf,inf,-8.15,-2.46,-6.65,0.0,inf,inf
