,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,4.95,-1.52,0.46,inf,-0.88,0.1,0.02,0.13,-0.06,inf,-0.76,-4.42,14.42,0.0,inf,inf,inf,0.05,0.94,inf,39.71,inf,-11.61,-6.73,-29.2,-1.51,inf,0.22,inf,inf
2015,4.71,3.11,0.46,inf,4.65,0.09,0.03,0.12,-0.07,inf,3.85,2.25,15.36,-0.02,inf,inf,inf,0.06,0.94,inf,44.74,inf,1.9,2.84,13.45,0.82,inf,0.29,13.11,-11.0
2016,11.57,14.6,0.34,inf,6.23,0.07,0.02,0.08,-0.06,inf,5.71,0.36,15.19,-0.17,inf,inf,inf,0.07,0.91,inf,52.15,inf,1.2,0.51,2.16,0.15,inf,0.3,5.43,-25.12
2017,inf,4.12,0.39,inf,2.0,0.11,0.03,0.11,-0.07,inf,1.8,1.57,16.62,0.01,inf,inf,inf,0.09,0.91,inf,57.48,inf,5.46,2.64,8.54,0.73,inf,0.28,0.71,-11.12
2018,inf,6.51,0.46,inf,2.73,0.16,0.04,0.14,-0.09,inf,2.73,1.08,15.26,-0.3,inf,inf,inf,0.08,0.91,inf,67.49,inf,5.96,2.5,7.0,0.59,inf,0.24,-4.14,-6.96
2019,0.41,6.19,0.77,6.07,10.51,0.31,0.07,0.29,-0.17,6.05,10.48,2.11,16.93,inf,inf,inf,inf,0.08,0.91,0.75,71.39,5.07,2.92,4.97,12.51,1.06,inf,0.21,-5.92,inf
2020,3.78,4.74,0.88,2.05,3.32,0.39,0.08,0.4,-0.16,2.04,3.3,3.48,18.85,inf,inf,inf,inf,0.1,0.95,0.63,74.5,18.93,11.71,8.2,17.94,1.71,inf,0.21,-9.42,11.97
2021,9.83,6.25,1.08,5.65,7.86,0.5,0.1,1.04,-0.11,5.44,7.57,1.92,11.14,inf,inf,inf,inf,0.09,0.95,inf,62.31,8.88,6.39,8.03,17.26,1.62,inf,0.2,-4.8,65.13
2022,5.21,5.25,0.77,inf,3.98,0.29,0.07,0.58,-0.08,inf,3.98,1.91,13.0,-6.14,inf,inf,inf,0.08,0.91,inf,53.83,inf,7.19,5.46,15.18,1.29,inf,0.24,5.94,22.46
2023,4.5,5.74,0.84,inf,4.36,0.31,0.07,0.64,-0.08,inf,4.22,1.91,13.0,0.83,inf,inf,inf,0.09,0.91,inf,53.83,inf,7.19,5.46,14.67,1.29,inf,0.24,5.94,22.46
