,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,6.29,10.97,0.65,inf,7.8,3.81,0.48,0.79,-1.61,inf,inf,0.02,0.32,0.17,inf,inf,inf,0.74,0.26,7.9,72.39,inf,48.89,34.77,5.97,4.42,inf,0.13,-42.57,-3.89
2015,10.54,5.85,0.39,inf,4.41,1.93,0.31,0.46,-1.12,inf,inf,0.02,0.33,0.36,inf,inf,inf,0.81,0.19,23.76,79.24,inf,43.83,33.08,6.67,5.38,inf,0.16,-40.81,8.95
2016,2.45,0.17,0.01,inf,0.1,0.07,0.01,0.06,-0.01,inf,0.2,1.72,34.26,0.0,inf,inf,inf,0.91,0.09,3.35,97.44,inf,66.93,41.66,5.03,4.59,inf,0.11,-23.06,19.55
2017,0.13,-10.46,2.41,inf,-5.95,7.09,1.31,8.98,-1.89,inf,inf,-1.7,7.39,0.05,inf,inf,inf,0.54,0.46,1.92,83.34,inf,-119.18,-67.75,-23.03,-12.53,inf,0.18,-16.37,inf
2018,9.9,14.06,0.49,inf,7.79,3.96,0.35,1.06,-0.6,inf,9.29,0.86,24.67,-0.11,inf,inf,inf,0.72,0.28,4.66,79.44,inf,50.85,28.2,3.47,2.48,inf,0.09,1.6,14.21
2019,7.04,43.1,0.78,inf,37.16,7.33,0.54,1.91,-0.8,inf,inf,0.46,25.51,inf,inf,inf,inf,0.7,0.3,8.55,77.36,inf,19.73,17.01,1.81,1.26,inf,0.07,5.44,-8.61
2020,7.04,39.11,0.77,inf,22.98,8.56,0.46,9.91,-0.64,inf,23.08,0.51,25.93,inf,inf,inf,inf,0.61,0.39,1.21,81.2,inf,37.26,21.89,1.96,1.19,inf,0.05,-1.79,-9.57
2021,11.34,24.58,0.65,inf,14.18,4.48,0.26,23.79,-0.26,inf,inf,0.7,26.66,inf,inf,inf,inf,0.4,0.6,inf,67.46,inf,31.59,18.22,2.62,1.05,inf,0.06,-10.02,-23.74
2022,6.41,6.56,0.48,inf,4.98,1.54,0.26,94.44,-0.26,inf,inf,2.02,27.38,0.03,inf,inf,inf,0.53,0.47,inf,53.4,inf,31.05,23.54,7.39,3.9,inf,0.17,16.78,inf
2023,10.23,5.83,0.43,inf,4.42,1.37,0.23,83.98,-0.23,inf,5.91,2.02,27.38,0.03,inf,inf,inf,0.53,0.47,inf,53.4,inf,31.05,23.54,7.39,3.9,inf,0.17,16.78,inf
