,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.78,5.41,inf,inf,inf,inf,0.09,0.9,inf,14.97,12.66,15.36,18.21,14.21,1.34,inf,0.07,42.33,27.46
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.27,7.24,inf,inf,inf,inf,0.08,0.92,inf,-30.87,-18.33,-28.84,6.31,3.68,0.3,inf,0.05,30.06,-2.01
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.76,6.55,inf,inf,inf,inf,0.16,0.84,inf,56.37,37.55,53.63,36.42,26.56,4.25,inf,0.12,19.8,28.82
2017,6.8,10.72,1.2,17.77,14.05,2.96,0.14,1.23,-0.41,13.87,10.96,0.76,6.76,-0.19,inf,inf,inf,0.16,0.84,inf,21.91,16.66,21.07,27.62,11.02,1.76,inf,0.06,-1.5,-0.63
2018,5.46,17.41,1.18,57.13,45.25,2.98,0.14,2.85,-0.41,54.03,42.8,0.48,7.01,-0.46,inf,inf,inf,0.14,0.86,inf,-11.15,5.22,6.59,17.14,6.75,0.97,inf,0.06,-3.31,-12.39
2019,1.17,28.11,4.95,24.57,21.69,9.47,0.6,5.65,-2.42,15.59,13.76,1.42,8.08,inf,inf,inf,inf,0.12,0.88,1.16,31.18,38.56,43.67,33.69,17.59,2.13,inf,0.06,-0.86,12.13
2020,0.88,37.75,4.64,69.13,121.52,9.38,0.49,13.12,-1.68,47.45,83.41,1.21,9.84,inf,inf,inf,inf,0.11,0.89,0.92,-7.36,13.57,7.72,24.86,12.29,1.3,inf,0.05,2.49,34.81
2021,2.24,16.97,3.95,16.52,16.08,8.79,0.46,10.27,-6.32,9.01,8.77,0.76,3.25,inf,inf,inf,inf,0.12,0.88,1.1,33.71,53.23,54.68,51.82,23.27,2.73,inf,0.05,5.25,12.94
2022,1.69,18.96,3.51,16.74,15.34,3.0,0.4,14.3,-4.65,10.34,9.48,0.68,3.68,-1.92,inf,inf,inf,0.11,0.89,1.03,17.34,17.89,19.52,15.8,18.51,2.12,inf,0.13,46.0,30.57
2023,2.11,15.25,2.82,13.16,12.34,2.41,0.32,11.5,-3.74,8.29,7.78,0.68,3.68,1.49,inf,inf,inf,0.11,0.89,1.03,17.34,18.31,19.52,15.8,18.51,2.12,inf,0.13,46.0,30.57
