,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,15.24,0.35,inf,15.37,0.24,0.05,-0.28,-0.09,inf,15.37,0.15,6.79,-0.08,inf,inf,inf,0.14,0.86,inf,40.83,inf,1.56,1.57,2.26,0.32,inf,0.21,inf,inf
2015,0.12,10.46,0.41,inf,30.61,0.21,0.06,-0.29,-0.11,inf,30.61,0.15,3.92,0.14,inf,inf,inf,0.14,0.86,inf,36.86,inf,0.68,2.0,3.8,0.55,inf,0.27,114.89,inf
2016,0.26,-9.08,0.39,inf,-4.87,0.17,0.05,-0.26,-0.1,inf,-4.87,-0.14,3.32,0.05,inf,inf,inf,0.13,0.87,inf,54.36,inf,-3.53,-1.89,-3.96,-0.52,inf,0.28,8.17,inf
2017,inf,17.47,0.54,inf,26.72,0.24,0.07,-0.55,-0.13,inf,26.72,0.11,3.46,-0.1,inf,inf,inf,0.15,0.85,inf,56.95,inf,0.91,1.38,2.85,0.42,inf,0.3,9.5,inf
2018,3.13,11.23,0.54,inf,5.59,0.32,0.08,-0.65,-0.13,inf,5.59,0.17,3.59,0.14,inf,inf,inf,0.15,0.85,inf,57.06,inf,5.64,2.81,4.67,0.72,inf,0.26,1.45,inf
2019,0.72,19.46,2.46,19.74,21.47,1.54,0.36,-2.44,-0.65,19.74,21.47,0.54,4.31,inf,inf,inf,inf,0.16,0.84,0.01,60.54,7.82,7.19,7.93,12.01,1.87,inf,0.24,8.37,49.77
2020,3.9,18.31,2.16,11.47,12.96,1.26,0.29,-1.48,-0.5,11.47,12.96,0.52,4.41,inf,inf,inf,inf,0.14,0.86,0.0,64.05,10.98,9.72,6.88,11.32,1.61,inf,0.23,4.82,34.25
2021,2.1,17.69,2.15,11.61,12.57,1.56,0.27,-0.6,-0.27,11.61,12.57,0.6,4.96,inf,inf,inf,inf,0.12,0.87,0.0,67.03,13.43,12.4,8.81,12.18,1.5,inf,0.17,1.37,inf
2022,4.59,11.56,1.08,8.24,9.61,0.65,0.14,inf,-0.14,8.24,9.61,0.52,5.6,-1.42,inf,inf,inf,0.13,0.87,inf,52.6,7.93,6.81,5.66,9.38,1.2,inf,0.21,8.24,43.43
2023,5.46,9.72,0.91,6.93,8.07,0.55,0.12,inf,-0.12,6.93,8.07,0.52,5.6,-0.44,inf,inf,inf,0.13,0.87,inf,52.6,7.93,6.81,5.66,9.38,1.2,inf,0.21,8.24,43.43
