,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,15.55,59.79,inf,inf,inf,inf,0.11,0.89,0.71,54.99,inf,19.23,12.87,26.01,2.94,inf,0.23,27.58,27.64
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,21.43,72.65,inf,inf,inf,inf,0.13,0.87,0.71,59.49,inf,21.46,15.24,29.5,3.87,inf,0.25,26.53,23.41
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.31,87.24,inf,inf,inf,inf,0.13,0.87,inf,63.59,inf,21.0,15.79,27.86,3.65,inf,0.23,21.88,13.14
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.2,107.64,inf,inf,inf,inf,0.15,0.85,0.93,71.23,inf,23.0,16.56,25.27,3.73,inf,0.23,18.32,14.96
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,32.38,127.84,inf,inf,inf,inf,0.17,0.83,0.94,76.35,inf,31.4,19.0,25.33,4.33,inf,0.23,12.87,16.96
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,34.03,143.41,inf,inf,inf,inf,0.16,0.84,0.85,76.66,29.88,30.81,19.17,23.73,3.69,inf,0.19,8.0,16.96
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.33,0.16,inf,inf,inf,inf,0.14,0.86,inf,80.4,inf,31.54,15.44,16.25,2.28,inf,0.15,3.12,3.4
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.34,172.1,inf,inf,inf,inf,0.13,0.87,inf,72.4,inf,24.07,13.11,14.72,1.93,inf,0.15,4.66,0.84
2022,5.69,7.28,1.02,inf,4.3,0.61,0.11,1.27,-0.12,inf,4.3,25.0,178.47,0.3,inf,inf,inf,0.11,0.89,inf,55.65,inf,14.23,8.39,14.01,1.56,inf,0.19,4.66,0.56
2023,5.69,7.28,1.02,inf,4.3,0.61,0.11,1.27,-0.12,inf,4.3,25.0,178.47,0.3,inf,inf,inf,0.11,0.89,inf,55.65,inf,14.23,8.39,14.01,1.56,inf,0.19,4.66,0.56
