,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.91,2.99,inf,inf,inf,inf,0.17,0.83,inf,44.23,inf,52.01,34.14,30.45,5.11,inf,0.15,inf,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.16,3.49,inf,inf,inf,inf,0.14,0.86,inf,45.52,inf,56.02,36.33,33.18,4.67,inf,0.13,38.12,27.7
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.01,2.81,inf,inf,inf,inf,0.14,0.86,inf,43.95,inf,53.36,34.62,35.99,4.92,inf,0.14,22.19,24.1
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.86,3.11,inf,inf,inf,inf,0.13,0.87,inf,56.52,inf,48.11,30.06,27.57,3.64,inf,0.12,10.54,8.96
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.21,2.74,inf,inf,inf,inf,0.12,0.88,inf,54.95,inf,17.56,4.89,7.66,0.95,inf,0.2,14.99,-24.78
2019,inf,0.0,0.0,inf,0.0,0.0,0.0,inf,inf,inf,0.0,6.31,66.71,inf,inf,inf,inf,0.14,0.86,inf,51.56,inf,21.77,5.61,9.46,0.01,inf,0.24,9.97,-25.46
2020,inf,6.98,0.66,inf,1.8,0.39,0.09,inf,-0.12,inf,1.8,6.31,66.71,-0.11,inf,inf,inf,0.14,0.86,inf,51.56,inf,21.77,5.61,9.46,1.35,inf,0.24,14.99,-24.79
2021,inf,6.98,0.66,inf,1.8,0.39,0.09,inf,-0.12,inf,1.8,6.31,66.71,-0.11,inf,inf,inf,0.14,0.86,inf,51.56,inf,21.77,5.61,9.46,1.35,inf,0.24,14.99,-18.89
2022,inf,6.98,0.66,inf,1.8,0.39,0.09,inf,-0.12,inf,1.8,6.31,66.71,-0.11,inf,inf,inf,0.14,0.86,inf,51.56,inf,21.77,5.61,9.46,1.35,inf,0.24,14.99,-18.89
2023,inf,6.98,0.66,inf,1.8,0.39,0.09,inf,-0.12,inf,1.8,6.31,66.71,-0.11,inf,inf,inf,0.14,0.86,inf,51.56,inf,21.77,5.61,9.46,1.35,inf,0.24,14.99,-18.89
