,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,13.21,40.68,0.46,inf,71.68,inf,0.39,-15.52,-0.43,inf,96.3,0.29,25.57,-0.13,0.1,inf,14.81,0.84,0.16,0.78,inf,inf,inf,inf,1.14,0.96,-0.72,0.0,inf,-36.23
2015,21.16,-0.6,0.2,inf,-0.63,inf,0.16,4.52,-0.17,inf,-1.07,-7.41,22.65,0.0,0.12,inf,-0.39,0.82,0.18,11.02,inf,inf,inf,inf,-32.72,-26.72,-26.87,0.0,inf,inf
2016,0.8,6.99,0.56,inf,5.62,inf,0.43,4.27,-0.52,inf,5.97,1.8,22.63,-0.06,-0.03,inf,-0.31,0.77,0.23,2.32,inf,inf,inf,inf,7.96,6.12,8.05,0.0,inf,-20.84
2017,1.74,3.71,0.98,inf,3.31,inf,0.76,-12.6,-0.91,inf,3.67,6.66,25.19,0.01,0.0,inf,0.02,0.78,0.22,0.72,inf,inf,inf,inf,26.44,20.56,23.08,0.0,inf,36.8
2018,5.99,8.57,1.02,inf,8.26,inf,0.96,95.4,-1.01,inf,8.5,3.42,28.62,-0.18,-0.03,inf,-0.2,0.94,0.06,1.23,inf,inf,inf,inf,11.95,11.19,12.06,0.0,inf,inf
2019,3.58,-30.53,1.29,inf,-29.62,inf,1.22,51.26,-1.29,inf,-31.25,-1.16,27.47,inf,0.0,inf,-0.05,0.95,0.05,1.76,inf,inf,inf,inf,-4.22,-3.99,-4.25,0.0,inf,inf
2020,3.18,13.58,1.77,inf,13.64,inf,1.76,52.41,-1.83,inf,14.6,4.22,32.34,inf,-0.01,inf,-0.04,1.0,0.0,11.8,inf,inf,inf,inf,13.03,12.99,12.98,0.0,inf,inf
2021,47.03,1.06,1.14,inf,1.07,inf,1.13,34.99,-1.18,inf,1.13,20.55,19.09,inf,-0.04,inf,-0.04,0.99,0.01,5.89,inf,inf,inf,inf,107.68,106.96,106.86,0.0,inf,66.61
2022,11.63,1.69,1.28,inf,1.7,inf,1.27,12.6,-1.43,inf,1.74,15.11,19.93,0.19,-0.11,inf,-0.14,0.99,0.01,9.56,inf,inf,inf,inf,75.82,74.92,74.47,0.0,inf,56.67
2023,12.11,1.62,1.23,inf,1.64,inf,1.22,12.1,-1.37,inf,1.59,15.11,19.93,0.18,-0.11,inf,-0.14,0.99,0.01,9.56,inf,inf,inf,inf,75.82,74.92,74.47,0.0,inf,56.67
