,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,12.84,31.87,0.72,42.3,-106.86,1.49,0.47,24.08,-0.56,42.3,-106.86,0.11,4.72,-0.36,inf,inf,inf,0.65,0.35,1.13,100.0,3.53,-1.4,4.68,2.26,1.46,inf,0.31,inf,inf
2015,0.13,-19.0,5.41,-15.68,-14.45,10.91,4.28,171.2,-5.26,-15.68,-14.45,-1.06,3.73,0.02,inf,inf,inf,0.79,0.2,1.16,100.0,-69.57,-75.47,-57.42,-28.48,-22.53,inf,0.39,68.0,inf
2016,inf,-21.6,6.08,-22.72,-20.4,17.59,5.38,39.46,-6.87,-22.72,-20.4,-0.93,3.31,1.76,inf,inf,inf,0.88,0.11,2.68,100.0,-77.41,-86.19,-81.44,-28.15,-24.9,inf,0.31,-4.08,inf
2017,inf,-1.14,0.36,-1.35,-1.18,1.0,0.31,2.16,-0.4,-1.35,-1.18,-10.77,33.64,0.08,inf,inf,inf,0.86,0.14,3.12,100.0,-74.18,-84.5,-88.11,-32.02,-27.53,inf,0.31,-16.31,inf
2018,inf,-0.86,1.5,-0.88,-0.84,1.6,1.02,4.61,-1.69,-0.88,-0.84,-21.32,12.13,-0.01,inf,inf,inf,0.68,0.32,2.26,100.0,-180.8,-190.43,-186.93,-175.77,-118.98,inf,0.64,-19.42,inf
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.33,22.92,inf,-0.45,-10.2,303.36,0.67,0.33,2.57,100.0,8.55,-0.29,2.74,1.42,0.96,-0.19,0.35,-16.64,-25.09
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.06,15.48,inf,-0.25,-4.25,13.33,0.59,0.41,1.64,100.0,10.06,-3.21,-0.67,-0.39,-0.23,-2.91,0.35,-11.42,inf
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.29,19.45,inf,-0.28,-3.62,-11.25,0.56,0.44,1.56,100.0,15.71,5.06,3.02,1.5,0.84,2.04,0.28,4.5,inf
2022,inf,38.87,1.76,21.16,44.38,3.48,1.14,6.39,-1.74,16.6,34.82,1.01,22.24,0.0,-0.38,-4.56,-9.56,0.65,0.36,2.1,100.0,16.46,7.85,8.96,4.53,2.94,2.1,0.33,4.5,inf
2023,inf,38.87,1.76,21.16,44.38,3.48,1.14,6.39,-1.74,16.6,34.82,1.01,22.24,0.0,-0.38,-4.56,-9.56,0.65,0.36,2.1,100.0,16.46,7.85,8.96,4.53,2.94,2.1,0.33,4.5,inf
