,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,5.21,8.37,0.92,6.3,6.74,0.7,0.09,-2.4,-0.16,6.74,7.22,1.52,13.86,-0.49,inf,inf,inf,0.1,0.9,inf,42.19,11.1,10.37,8.35,10.69,1.03,inf,0.12,inf,inf
2015,10.01,4.18,0.59,3.37,3.52,0.38,0.06,3.8,-0.1,2.78,2.91,2.15,15.17,0.1,inf,inf,inf,0.1,0.9,inf,32.21,11.31,10.8,9.1,13.59,1.29,inf,0.14,16.03,2.97
2016,5.35,6.36,0.72,3.75,4.26,0.44,0.07,0.97,-0.13,3.58,4.07,1.78,15.75,-0.37,inf,inf,inf,0.1,0.9,inf,49.22,11.83,10.4,6.96,10.83,1.04,inf,0.15,12.86,-4.85
2017,1.03,9.86,1.54,6.12,6.96,1.16,0.15,0.68,-0.38,4.79,5.45,2.68,17.19,0.2,inf,inf,inf,0.1,0.9,inf,49.24,18.93,16.64,11.75,14.88,1.47,inf,0.13,9.3,5.6
2018,6.29,9.64,1.2,5.3,6.15,1.04,0.11,0.83,-0.24,5.4,6.26,2.22,17.79,-0.56,inf,inf,inf,0.09,0.91,inf,53.77,19.52,16.84,10.74,12.33,1.16,inf,0.11,6.29,3.93
2019,5.41,7.41,1.21,5.8,7.12,1.17,0.12,1.9,-3.3,5.63,6.91,3.1,19.05,inf,inf,inf,inf,0.09,0.91,0.04,56.18,20.1,16.39,15.74,16.27,1.54,inf,0.1,1.64,15.39
2020,4.17,10.39,0.77,inf,8.22,0.87,0.07,1.61,-0.08,inf,7.91,1.52,20.4,inf,inf,inf,inf,0.09,0.92,2.34,60.03,inf,10.61,8.4,7.51,0.68,inf,0.08,-5.25,-6.76
2021,8.04,4.47,0.53,inf,3.28,0.66,0.05,2.69,-0.05,inf,2.98,2.65,22.22,inf,inf,inf,inf,0.09,0.93,1.37,55.25,inf,20.01,14.69,11.94,1.04,inf,0.07,-6.73,8.29
2022,8.23,5.2,0.46,inf,5.76,0.34,0.04,2.74,-0.04,inf,5.49,2.06,23.28,-0.23,inf,inf,inf,0.08,0.92,1.87,30.36,inf,5.84,6.47,8.85,0.74,inf,0.11,6.91,-5.11
2023,8.21,5.4,0.48,inf,5.99,0.35,0.04,2.85,-0.04,inf,5.68,2.06,23.28,-0.27,inf,inf,inf,0.08,0.92,1.87,30.36,inf,5.84,6.47,8.85,0.74,inf,0.11,6.91,-5.11
