,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-2.93,1.43,3.23,3.23,0.33,0.17,-1.77,-0.22,10.87,10.87,-2.43,4.98,0.04,2.26,7.64,7.64,0.16,0.84,inf,20.71,10.08,10.08,-11.12,-32.64,-5.27,4.15,0.47,362.22,inf
2015,inf,-1.19,-16.07,inf,3.02,0.17,0.1,-1.19,-0.14,inf,15.25,-4.05,-0.3,-0.02,7.72,inf,12.24,0.05,0.94,1.11,13.55,inf,5.71,-14.45,-159.56,-8.68,5.05,0.6,354.25,inf
2016,inf,-2.72,-3.53,inf,26.73,0.23,0.18,-2.16,-0.27,inf,99.99,-2.73,-2.11,0.08,22.8,inf,73.25,0.02,0.98,1.19,8.98,inf,0.87,-8.54,-305.63,-5.19,-2.17,0.61,15.6,inf
2017,inf,-0.78,-0.68,inf,-1.73,0.14,0.11,-1.0,-0.17,inf,-9.97,-5.78,-6.62,-0.01,inf,inf,-8.24,-0.07,1.06,1.13,4.31,inf,-8.06,-17.88,-187.35,-12.34,-17.66,0.69,11.34,inf
2018,inf,-2.6,5.0,inf,-254.94,0.5,0.37,2.71,-0.59,inf,-526.74,-1.17,0.61,0.47,2.09,inf,-271.8,0.16,0.83,1.98,9.47,inf,-0.2,-19.23,-75.16,-12.32,-2.87,0.64,7.87,inf
2019,inf,-1.86,12.96,1.27,7.92,0.44,0.28,14.73,-0.42,3.32,20.68,-1.52,0.22,inf,8.83,2.05,12.76,0.06,0.94,1.58,11.59,34.73,5.58,-23.72,-294.57,-17.54,-1.49,0.74,7.69,inf
2020,inf,33.6,-5.41,1.39,3.17,0.53,0.41,-0.85,-0.69,2.94,6.69,0.16,-0.99,inf,inf,1.55,3.53,-0.08,1.07,0.46,25.99,38.14,16.74,1.58,-16.1,1.21,21.24,0.77,10.88,inf
2021,inf,10.22,-10.84,1.18,3.17,0.57,0.78,-1.59,-1.13,2.04,5.46,0.88,-0.83,-0.06,inf,0.86,2.3,-0.07,1.07,0.39,26.77,47.91,17.92,5.55,-106.05,7.59,30.9,1.37,10.88,inf
2022,inf,10.22,-10.84,1.18,3.17,0.57,0.78,-1.59,-1.13,2.04,5.46,0.88,-0.83,-0.06,inf,0.86,2.3,-0.07,1.07,0.39,26.77,47.91,17.92,5.55,-106.05,7.59,30.9,1.37,10.88,inf
2023,inf,10.22,-10.84,1.18,3.17,0.57,0.78,-1.59,-1.13,2.04,5.46,0.88,-0.83,-0.06,inf,0.86,2.3,-0.07,1.07,0.39,26.77,47.91,17.92,5.55,-106.05,7.59,30.9,1.37,10.88,inf
