,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.44,32.1,inf,inf,inf,inf,0.1,0.89,inf,56.34,inf,13.34,8.16,15.54,1.54,inf,0.19,inf,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.9,33.57,inf,inf,inf,inf,0.1,0.89,inf,46.05,inf,4.12,3.87,7.65,0.76,inf,0.2,14.46,-14.96
2016,inf,3.63,0.62,inf,2.93,0.28,0.05,-0.47,-0.1,inf,inf,5.52,32.34,0.04,inf,inf,inf,0.1,0.9,0.79,45.91,inf,9.41,7.58,14.19,1.47,inf,0.19,10.08,11.54
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.0,34.88,inf,inf,inf,inf,0.1,0.9,0.9,56.08,inf,15.07,10.42,17.32,1.79,inf,0.17,6.88,6.91
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.82,37.6,inf,inf,inf,inf,0.09,0.91,0.72,65.53,inf,19.1,10.88,18.15,1.65,inf,0.15,2.11,4.87
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.61,47.85,inf,inf,inf,inf,0.1,0.91,0.07,73.93,21.39,18.71,12.42,22.12,2.32,inf,0.19,5.1,14.3
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.64,54.48,inf,inf,inf,inf,0.07,0.92,0.49,75.23,inf,26.67,16.1,21.4,1.56,inf,0.1,-2.43,29.73
2021,2.99,11.02,2.76,inf,11.24,2.2,0.21,-0.62,-0.24,inf,16.06,1.63,6.51,inf,inf,inf,inf,0.08,0.92,0.2,45.12,inf,19.58,19.97,25.07,1.95,inf,0.1,2.33,24.21
2022,8.0,17.06,2.35,inf,18.16,0.95,0.13,-0.46,-0.14,inf,21.67,0.84,6.14,-0.35,inf,inf,inf,0.06,0.94,0.19,32.92,inf,5.2,5.54,13.75,0.76,inf,0.14,17.77,3.79
2023,1.93,13.22,1.82,inf,14.07,0.73,0.1,-0.36,-0.11,inf,15.48,0.84,6.14,-0.29,inf,inf,inf,0.06,0.94,0.19,32.92,inf,5.2,5.54,13.75,0.76,inf,0.14,17.77,3.79
