,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.19,8.49,-0.24,1.24,0.5,12.4,3.24,2.74,-3.2,-42.59,-10.32,13.49,3.23,3.47,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.05,inf,0.69,0.14,0.86,0.46,13.78,inf,41.18,18.87,201.35,28.07,90.42,1.49,-19.04,inf
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.06,inf,0.31,0.47,0.53,0.96,15.55,inf,16.15,1.47,1.64,0.78,7.89,0.53,-30.75,inf
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.19,-2.6,-1.97,0.08,0.92,0.78,13.94,-4.21,-5.55,-0.63,-12.59,-1.04,-84.33,1.65,-22.85,inf
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,42.56,-4.19,-2.98,0.0,1.0,1.15,14.49,-1.18,-1.66,-2.79,inf,-7.84,-31.63,2.81,-21.36,inf
2019,inf,inf,5.74,7.43,12.26,0.1,0.33,inf,inf,17.77,29.3,-0.3,0.57,inf,2.98,1.16,1.5,0.08,0.92,0.97,14.69,5.5,4.27,2.05,95.86,7.41,41.28,3.61,-11.43,inf
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.07,1.75,inf,1.22,0.85,1.07,0.17,0.83,1.17,18.69,8.21,6.52,3.5,61.18,10.24,35.04,2.92,5.92,-24.36
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.1,0.11,0.12,0.35,0.65,1.85,16.58,9.07,8.25,7.83,82.04,28.63,49.04,3.65,44.52,101.93
2022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.5,0.55,0.59,0.36,0.64,1.48,16.93,9.6,8.97,5.84,55.24,20.1,35.14,3.44,38.18,inf
2023,inf,inf,inf,inf,inf,151.7,522.14,inf,inf,1.98,2.12,4.27,7.73,-183.8,0.5,0.55,0.59,0.36,0.64,1.48,16.93,9.6,8.97,5.84,55.24,20.1,35.14,3.44,38.18,inf
