,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.16,9.83,7.75,2.86,inf,inf,inf,inf,inf,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8,2.16,2.72,0.35,0.65,1.82,24.45,10.0,7.97,2.62,9.69,3.39,10.94,1.29,inf,inf
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.7,1.82,2.17,0.38,0.62,1.76,24.68,11.06,9.31,4.07,14.13,5.39,12.33,1.32,inf,inf
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.77,2.13,2.62,0.36,0.64,1.69,24.67,10.54,8.57,5.38,18.42,6.54,10.77,1.22,inf,inf
2018,2.28,7.98,1.38,5.97,7.57,0.61,0.67,1.56,-1.87,7.21,9.15,0.88,5.1,inf,0.33,1.24,1.58,0.48,0.52,3.47,25.73,10.2,8.04,7.63,19.9,9.58,12.18,1.26,inf,inf
2019,1.99,15.42,1.74,8.35,12.39,0.68,0.71,2.37,-1.78,10.69,15.85,0.58,5.18,inf,0.48,2.33,3.46,0.49,0.51,2.24,23.18,8.2,5.53,4.44,11.05,5.4,8.19,1.22,7.98,17.95
2020,5.27,8.85,1.82,5.52,6.58,0.55,0.85,2.81,-1.94,7.03,8.39,1.25,6.08,inf,0.5,1.51,1.81,0.47,0.53,2.17,22.25,9.95,8.33,6.2,20.57,9.62,13.89,1.55,12.04,33.1
2021,2.17,8.81,1.47,5.52,6.61,0.47,0.52,1.42,-1.42,7.16,8.57,1.29,7.76,inf,0.46,1.64,1.96,0.44,0.56,2.38,19.72,8.46,7.06,5.3,17.64,7.75,11.95,1.46,12.75,18.84
2022,4.41,30.89,1.03,inf,4.5,0.31,0.35,1.11,-0.9,inf,8.4,0.27,8.04,-0.4,0.89,inf,3.9,0.34,0.66,2.08,21.39,inf,6.87,1.0,3.34,1.13,8.95,1.13,12.75,-13.69
2023,5.4,4.91,0.79,inf,2.81,0.23,0.28,1.01,-0.64,inf,6.43,1.38,8.59,0.02,1.02,inf,3.62,0.35,0.65,1.95,20.98,inf,8.22,4.71,16.11,5.66,11.24,1.2,12.75,19.19
