,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,5.15,20.17,7.84,7.73,9.5,3.68,1.58,-13.72,-1.85,10.25,12.6,0.76,1.96,-126.75,2.55,2.52,3.1,0.2,0.79,0.56,43.5,47.58,38.71,18.23,38.88,7.83,15.9,0.43,14.14,13.74
2015,4.74,25.34,5.86,6.33,8.12,2.61,1.02,-5.89,-1.23,9.71,12.46,0.5,2.14,-0.72,3.13,3.38,4.34,0.17,0.82,0.5,38.08,41.3,32.19,10.31,23.12,4.03,12.75,0.39,12.73,5.41
2016,4.44,16.44,7.22,inf,6.55,2.82,1.15,-9.61,-1.39,inf,9.66,0.97,2.21,0.17,3.42,inf,3.11,0.16,0.83,0.59,34.31,inf,43.04,17.15,43.9,6.98,17.08,0.41,14.25,13.76
2017,3.94,18.15,4.0,6.52,8.37,3.09,1.07,63.65,-1.35,8.94,11.47,0.89,4.04,3.72,1.48,2.41,3.1,0.27,0.72,1.09,37.3,47.36,36.9,17.02,22.03,5.87,11.69,0.34,15.57,8.83
2018,5.3,28.9,2.75,5.93,9.63,2.33,0.73,-71.84,-0.87,9.59,15.59,0.39,4.08,-0.51,1.7,3.67,5.96,0.27,0.73,0.94,39.77,39.29,24.18,8.06,9.51,2.54,6.35,0.32,10.06,-10.34
2019,4.02,26.66,4.71,6.98,10.81,3.62,1.15,62.58,-1.47,9.54,14.77,0.71,4.03,inf,1.72,2.56,3.96,0.24,0.75,1.09,42.4,51.83,33.5,13.58,17.67,4.32,9.71,0.32,7.44,1.29
2020,3.58,142.43,3.51,6.11,13.37,2.75,0.81,54.0,-1.07,9.18,20.1,0.09,3.83,inf,1.77,3.07,6.73,0.23,0.76,1.07,34.64,45.06,20.58,1.93,2.47,0.57,5.17,0.3,3.13,-26.23
2021,1.43,33.66,2.83,3.53,6.43,1.91,0.57,11.38,-0.7,6.7,12.18,0.34,4.09,inf,2.54,3.16,5.76,0.2,0.79,1.35,37.92,54.14,29.75,5.68,8.42,1.68,7.27,0.3,4.14,-16.5
2022,3.51,5.29,1.85,1.87,2.16,1.14,0.43,11.78,-0.58,3.65,4.21,2.05,5.85,0.01,1.81,1.78,2.05,0.23,0.77,1.17,58.37,60.9,52.72,21.55,36.05,8.18,17.92,0.38,12.68,18.12
2023,2.97,6.26,2.19,2.21,2.56,1.35,0.51,13.94,-0.68,3.99,4.61,2.05,5.85,0.01,1.76,1.78,2.05,0.23,0.77,1.17,58.37,60.9,52.72,21.55,34.96,8.18,17.92,0.38,12.68,18.12
