,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-1.21,1.09,inf,-2.73,0.1,0.07,-0.7,-0.1,inf,inf,-17.41,19.28,-0.02,1.44,inf,-3.61,0.06,0.86,0.75,12.03,inf,-3.55,-8.02,-90.28,-5.7,-17.56,0.71,4.04,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.04,2.77,63.88,inf,0.56,inf,1.43,0.18,0.76,1.1,17.56,inf,9.63,1.06,4.3,0.75,12.91,0.71,13.28,65.51
2016,inf,3.84,0.7,inf,3.25,0.2,0.14,-4.97,-0.22,inf,5.19,7.8,43.03,0.01,0.5,inf,2.37,0.2,0.73,0.93,13.15,inf,6.28,5.32,17.93,3.56,7.94,0.67,8.97,34.24
2017,inf,3.21,0.66,inf,1.82,0.15,0.12,5.97,-0.22,inf,inf,9.05,43.91,0.2,0.66,inf,1.8,0.17,0.77,1.01,18.64,inf,8.49,4.8,20.6,3.59,7.81,0.75,10.76,18.72
2018,11.06,5.69,0.87,inf,2.17,0.2,0.14,-5.92,-0.27,inf,inf,6.24,40.73,-0.18,0.61,inf,1.51,0.16,0.79,0.96,14.68,inf,9.12,3.47,15.32,2.4,17.2,0.69,10.0,inf
2019,6.02,7.9,1.2,inf,3.71,0.34,0.25,5.45,-0.48,inf,3.22,8.26,54.38,inf,0.05,inf,0.15,0.21,0.73,1.11,17.89,inf,9.21,4.33,15.18,3.23,13.57,0.75,6.64,inf
2020,2.53,5.17,3.29,inf,17.01,8.76,0.58,4.72,-4.33,inf,14.56,30.01,47.08,inf,-0.06,inf,-0.32,0.18,0.77,1.17,48.92,inf,51.47,169.54,63.74,11.28,10.73,0.07,-36.1,76.23
2021,600.49,0.91,1.37,inf,0.61,3.32,0.75,2.2,-2.05,inf,0.22,17.35,11.5,inf,-0.86,inf,-0.38,0.55,0.3,2.17,48.62,inf,547.73,364.47,150.84,82.57,118.14,0.23,-30.49,61.89
2022,31.62,4.13,0.87,inf,2.94,2.04,0.61,1.36,-1.27,inf,0.83,2.71,12.88,-0.05,-0.54,inf,-1.84,0.7,0.09,7.35,60.43,inf,69.42,49.42,21.04,14.77,16.48,0.3,-30.49,11.68
2023,27.24,4.8,1.01,inf,3.41,2.37,0.71,1.58,-1.47,inf,1.65,2.71,12.88,-0.05,-0.54,inf,-1.84,0.7,0.09,7.35,60.43,inf,69.42,49.42,21.04,14.77,16.48,0.3,-30.49,11.68
