,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.77,21.29,inf,0.82,inf,4.35,0.38,0.62,0.92,18.66,inf,7.75,3.33,8.09,3.06,9.56,0.92,6.28,-25.83
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.26,22.58,inf,0.97,inf,7.47,0.32,0.68,0.87,15.19,inf,4.78,0.42,1.15,0.37,5.38,0.88,9.53,-46.8
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,21.1,inf,1.3,inf,8.19,0.28,0.72,0.7,13.38,inf,5.27,-0.01,-0.02,-0.01,6.19,0.86,10.16,inf
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.76,20.6,inf,1.88,5.19,8.33,0.23,0.77,0.84,13.43,10.49,6.54,1.06,3.67,0.84,7.21,0.79,8.38,inf
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.5,21.36,inf,2.54,5.9,8.99,0.21,0.79,1.35,15.43,12.23,8.03,1.99,7.02,1.44,6.32,0.72,11.39,-2.64
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.43,21.83,inf,2.7,5.26,7.72,0.21,0.79,inf,16.85,13.74,9.36,2.98,11.13,2.28,8.24,0.77,9.02,6.6
2020,1.29,43.71,5.57,11.44,17.76,1.38,0.83,85.45,-1.11,16.22,25.18,2.91,22.81,inf,2.78,5.71,8.86,0.15,0.85,1.04,15.77,12.08,7.78,3.16,12.75,1.9,6.53,0.6,8.76,62.59
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.04,24.55,inf,3.29,4.65,6.37,0.14,0.86,1.15,17.56,15.24,11.12,4.42,20.52,2.9,9.55,0.65,12.45,inf
2022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.1,20.68,inf,4.25,4.91,6.76,0.12,0.88,1.4,19.63,16.86,12.23,1.98,10.17,1.19,10.01,0.6,8.38,22.72
2023,3.43,59.53,6.06,6.99,9.64,1.18,0.71,8.97,-0.98,11.37,15.67,2.1,20.68,-1.02,4.25,4.91,6.76,0.12,0.88,1.4,19.63,16.86,12.23,1.98,10.17,1.19,10.01,0.6,8.38,22.72
