,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,14.19,13.1,0.85,inf,7.23,1.51,0.5,9.83,-0.62,inf,7.51,1.71,26.35,-0.03,-0.08,inf,-0.66,0.59,0.41,1.34,73.84,inf,20.9,11.53,6.49,3.81,6.67,0.33,12.85,3.2
2015,47.59,-54.44,0.46,inf,7.43,1.13,0.28,-819.56,-0.3,inf,9.73,-0.19,22.32,0.49,0.04,inf,0.74,0.61,0.39,1.02,51.86,inf,15.23,-2.08,-0.82,-0.51,3.57,0.24,0.31,inf
2016,3.86,11.67,0.57,inf,14.96,2.45,0.36,-217.11,-0.39,inf,15.99,1.07,21.87,-0.02,0.01,inf,0.24,0.63,0.37,0.98,52.66,inf,16.4,21.03,4.78,3.02,1.68,0.14,-10.82,26.44
2017,4.35,-21.59,0.51,inf,-30.88,2.46,0.33,-56.99,-0.35,inf,-35.41,-0.51,21.72,0.15,0.01,inf,-0.66,0.64,0.36,0.91,19.75,inf,-7.98,-11.41,-2.37,-1.51,-2.92,0.13,-15.13,inf
2018,0.18,23.3,0.97,inf,23.07,4.2,0.66,-233.38,-0.72,inf,23.04,0.9,21.69,-0.08,-0.03,inf,-0.66,0.69,0.31,0.97,23.96,inf,18.2,18.02,4.15,2.85,3.93,0.16,-15.99,inf
2019,2.73,9.15,1.49,12.33,22.01,6.77,0.82,92.61,-0.9,13.47,24.04,3.55,21.82,inf,0.15,1.28,2.28,0.55,0.45,1.07,30.5,54.93,30.77,74.02,16.28,8.99,-6.08,0.12,-20.2,15.73
2020,8.19,5.27,1.26,7.52,11.2,4.75,0.63,133.37,-0.68,8.65,12.89,5.28,22.0,inf,0.15,0.92,1.37,0.5,0.5,1.06,37.95,63.11,42.39,90.17,23.99,11.88,-7.3,0.13,-8.26,inf
2021,9.86,16.34,0.95,4.14,5.46,3.14,0.5,-99.72,-0.54,4.94,6.51,1.35,23.16,inf,0.2,0.86,1.13,0.53,0.47,0.94,57.01,75.92,57.55,19.23,5.81,3.06,11.01,0.16,6.56,4.67
2022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.47,30.97,inf,-0.12,0.89,-1.26,0.62,0.38,1.09,33.55,-61.19,43.12,108.48,24.13,15.05,9.59,0.14,8.84,inf
2023,inf,3.42,0.83,-6.06,8.6,3.71,0.51,61.03,-0.58,-5.13,7.28,7.47,30.97,0.01,-0.12,0.89,-1.26,0.62,0.38,1.09,33.55,-61.19,43.12,108.48,24.13,15.05,9.59,0.14,8.84,inf
