,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,3.25,9.56,1.88,inf,5.57,0.92,0.77,16.54,-1.01,inf,inf,5.02,25.51,-8.1,0.69,inf,2.06,0.41,0.59,1.24,29.63,inf,16.44,9.58,19.67,8.0,12.89,0.84,9.18,-2.39
2015,13.5,6.45,1.42,inf,3.85,0.68,0.51,6.08,-0.74,inf,inf,5.73,26.1,0.45,0.58,inf,1.59,0.36,0.64,1.36,30.57,inf,17.74,10.59,21.97,7.88,12.57,0.74,10.0,3.8
2016,26.51,5.73,1.99,inf,3.27,0.91,0.6,5.02,-0.91,inf,inf,7.08,20.35,0.2,0.76,inf,1.25,0.3,0.7,1.52,43.89,inf,27.85,15.93,34.78,10.39,17.48,0.65,6.64,30.71
2017,17.49,11.17,3.55,inf,6.26,1.29,0.83,40.91,-1.33,inf,inf,4.92,15.51,-0.39,1.23,inf,2.17,0.23,0.77,1.06,36.94,inf,20.64,11.56,31.73,7.39,13.9,0.64,0.96,11.56
2018,7.04,6.1,3.0,inf,4.43,1.19,0.98,6.2,-1.59,inf,inf,10.15,20.61,0.06,1.12,inf,1.65,0.33,0.67,1.69,28.34,inf,26.95,19.58,49.22,16.02,19.78,0.82,1.54,16.7
2019,10.39,13.85,36.45,7.54,8.71,1.99,2.24,inf,-3.35,inf,inf,10.32,3.92,inf,8.01,1.66,1.91,0.06,0.94,0.99,32.71,26.41,22.85,14.37,263.17,16.18,26.85,1.13,8.3,17.45
2020,4.82,20.05,39.1,9.68,11.52,2.77,2.17,37.48,-3.61,inf,inf,8.68,4.45,inf,9.21,2.28,2.71,0.06,0.94,1.17,33.8,28.65,24.09,13.83,195.0,10.84,18.79,0.78,4.74,10.49
2021,8.18,9.32,17.86,6.55,7.65,1.69,1.61,-50.67,-2.43,inf,inf,15.99,8.34,inf,5.48,2.01,2.35,0.09,0.91,0.91,26.3,25.75,22.03,18.1,191.74,17.27,30.09,0.95,15.66,18.65
2022,10.77,9.51,16.68,5.35,6.32,0.99,1.36,17.84,-2.19,inf,inf,13.67,7.79,-0.66,5.56,1.78,2.11,0.08,0.92,1.25,19.82,18.5,15.64,10.4,175.4,14.3,30.22,1.38,25.75,23.13
2023,9.87,8.83,15.49,4.97,5.87,0.92,1.26,16.57,-2.04,6.75,7.98,13.67,7.79,-0.61,5.56,1.78,2.11,0.08,0.92,1.25,19.82,18.5,15.64,10.4,175.4,14.3,30.22,1.38,25.75,23.13
