,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.17,0.39,0.5,0.38,0.62,2.95,16.85,16.61,13.14,8.16,21.89,8.31,15.74,1.02,12.43,32.76
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.1,0.41,0.78,0.28,0.72,1.07,9.56,7.71,4.01,1.85,5.87,1.64,7.1,0.88,11.8,-13.73
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.06,-0.39,-1.38,0.24,0.76,0.99,8.61,5.4,1.54,-0.16,-0.47,-0.11,2.69,0.71,8.36,inf
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.04,-0.16,-0.27,0.2,0.8,0.86,12.43,7.39,4.31,0.94,3.61,0.73,9.27,0.78,9.9,inf
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.4,1.18,1.82,0.18,0.82,0.98,10.83,7.97,5.16,2.15,9.16,1.67,8.49,0.78,9.49,-3.66
2019,2.05,9.88,0.98,2.95,4.41,0.26,0.18,inf,inf,4.1,6.14,5.21,52.51,inf,0.78,1.51,2.2,0.15,0.85,0.97,12.39,9.04,6.2,3.54,20.15,2.99,11.72,0.84,4.99,-11.18
2020,4.63,4.2,1.1,2.36,3.19,0.25,0.2,5.02,-0.32,3.25,4.4,13.45,51.45,inf,0.4,0.86,1.17,0.19,0.81,1.12,13.59,10.41,7.69,5.86,26.13,4.86,12.05,0.83,4.67,31.75
2021,6.96,4.66,1.0,2.51,3.29,0.23,0.22,5.42,-0.32,3.53,4.62,14.6,67.96,inf,0.45,1.13,1.48,0.22,0.78,1.15,11.35,9.2,7.03,4.97,21.48,4.71,11.61,0.95,13.22,inf
2022,9.18,6.62,0.75,2.7,4.14,0.28,0.18,3.83,-0.27,4.23,6.47,8.46,75.16,-0.12,0.45,1.61,2.47,0.25,0.75,1.19,13.36,10.27,6.71,4.19,11.26,2.79,8.32,0.66,13.22,inf
2023,10.81,5.95,0.67,2.43,3.72,0.25,0.17,3.44,-0.24,4.03,6.16,8.46,75.16,-0.11,0.45,1.61,2.47,0.25,0.75,1.19,13.36,10.27,6.71,4.19,11.26,2.79,8.32,0.66,13.22,inf
