,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,11.64,4.16,0.36,3.23,4.0,1.1,0.27,8.25,-0.3,3.61,4.47,3.72,42.6,0.04,0.04,0.38,0.47,0.74,0.26,1.53,56.47,34.19,27.58,26.51,8.74,6.46,8.28,0.24,61.72,inf
2015,1.69,11.09,1.24,8.26,10.36,2.94,0.93,33.09,-1.03,8.45,10.6,0.86,7.67,0.28,0.03,0.19,0.24,0.75,0.25,1.4,57.44,35.62,28.4,26.52,11.21,8.39,10.8,0.32,54.42,inf
2016,2.62,11.62,1.57,9.82,12.0,4.13,1.23,15.49,-1.45,9.27,11.33,1.15,8.52,0.35,-0.09,-0.55,-0.67,0.79,0.21,2.12,58.88,42.1,34.44,35.55,13.46,10.59,12.15,0.3,48.16,118.58
2017,2.31,15.9,1.97,14.17,17.66,5.38,1.6,13.66,-1.98,13.5,16.82,1.16,9.35,16.76,-0.09,-0.67,-0.84,0.81,0.19,2.63,62.11,37.99,30.49,33.87,12.38,10.08,10.68,0.3,31.65,56.26
2018,4.42,10.39,0.92,8.47,11.72,2.41,0.46,4.84,-0.55,11.43,15.81,0.85,9.67,-0.41,0.32,2.96,4.1,0.52,0.48,2.17,62.57,28.41,20.54,23.16,8.83,4.58,5.2,0.2,24.63,22.13
2019,1.05,79.89,1.19,11.99,18.48,2.67,0.55,10.88,-0.63,19.18,29.57,0.14,9.63,inf,0.71,7.19,11.09,0.46,0.54,1.63,60.02,22.31,14.47,3.35,1.49,0.69,3.43,0.21,13.24,-25.14
2020,inf,-1.5,0.66,-1.78,-2.68,1.65,0.28,2.17,-0.4,-3.03,-4.56,-3.09,7.04,inf,0.46,-1.25,-1.88,0.43,0.54,1.76,63.05,-92.51,-61.43,-110.19,-43.95,-18.86,-14.04,0.17,0.02,inf
2021,inf,-9.44,0.36,8.95,58.88,0.97,0.16,1.6,-0.21,20.32,133.71,-0.26,6.78,inf,0.46,11.37,74.83,0.45,0.52,1.7,60.16,10.8,1.64,-10.24,-3.84,-1.72,0.15,0.17,-1.85,inf
2022,inf,-7.52,0.3,inf,13.12,0.78,0.15,4.02,-0.19,inf,33.15,-0.28,7.06,-0.92,0.5,inf,20.03,0.46,0.5,1.24,63.38,inf,5.96,-10.39,-4.34,-2.0,1.18,0.19,-1.73,inf
2023,inf,-6.63,0.27,4.61,11.57,0.69,0.13,3.54,-0.16,12.59,31.6,-0.28,7.06,-0.82,0.46,7.98,20.03,0.5,0.5,1.24,63.38,14.95,5.96,-10.39,-3.99,-2.0,1.18,0.19,-1.73,inf
