,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,5.56,9.74,1.33,2.4,3.43,0.53,0.26,5.14,-0.36,6.24,8.92,1.9,13.89,7.77,2.13,3.84,5.49,0.2,0.73,1.24,23.78,22.14,15.48,5.46,13.67,2.7,7.25,0.5,8.9,-10.55
2015,inf,17.43,1.96,3.64,5.27,0.73,0.37,5.05,-0.54,7.51,10.87,0.87,7.73,-1.96,2.09,3.87,5.6,0.19,0.75,1.31,21.03,20.11,13.9,4.2,11.27,2.13,7.17,0.51,11.37,-11.52
2016,0.82,28.48,3.22,6.22,9.05,1.34,0.61,10.87,-0.83,10.07,14.66,0.89,7.83,6.85,1.53,3.85,5.6,0.25,0.75,inf,22.53,21.58,14.83,4.71,8.69,2.14,7.2,0.45,8.41,-10.54
2017,1.13,16.7,2.2,4.05,5.91,0.74,0.48,-10.96,-0.62,7.53,10.98,1.16,8.8,0.54,1.89,3.48,5.07,0.22,0.73,0.84,18.69,18.18,12.47,4.41,13.16,2.86,8.71,0.65,12.43,0.06
2018,0.95,14.27,2.86,5.21,7.26,1.04,0.7,29.75,-0.9,8.49,11.84,2.02,10.08,0.19,1.8,3.28,4.57,0.24,0.7,1.12,20.58,20.03,14.37,7.31,20.05,4.88,9.93,0.67,13.97,17.03
2019,1.35,13.39,2.78,5.66,7.68,1.21,0.82,131.72,-1.07,8.18,11.1,2.66,12.77,inf,1.24,2.52,3.42,0.29,0.7,1.03,21.97,21.36,15.74,9.03,20.8,6.13,10.79,0.68,11.46,23.28
2020,5.53,10.29,2.69,5.53,7.33,1.21,0.76,-63.13,-1.06,7.46,9.89,3.16,12.09,inf,0.94,1.93,2.56,0.28,0.71,0.96,22.4,21.94,16.55,11.79,26.14,7.42,12.15,0.63,8.45,33.32
2021,13.8,6.51,2.04,3.38,4.17,0.79,0.47,11.72,-0.61,5.52,6.82,4.12,13.14,inf,1.3,2.14,2.65,0.23,0.75,1.2,23.61,23.36,18.89,12.11,31.35,7.18,14.4,0.59,15.46,39.43
2022,9.77,7.5,2.18,3.12,3.74,0.97,0.54,127.15,-0.68,4.81,5.77,4.43,15.22,1.01,1.28,1.69,2.03,0.23,0.75,1.02,30.08,31.16,26.0,12.96,31.37,7.17,18.94,0.55,8.03,34.01
2023,10.24,7.15,2.08,2.97,3.56,0.93,0.51,121.21,-0.65,4.67,5.6,4.43,15.22,0.97,1.18,1.69,2.03,0.25,0.75,1.02,30.08,31.16,26.0,12.96,29.07,7.17,18.94,0.55,8.03,34.01
