,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-30.61,1.22,inf,22.33,4.14,0.44,35.32,-0.49,inf,43.16,-0.38,9.58,-0.15,1.14,inf,20.82,0.36,0.63,1.14,38.52,inf,18.54,-13.53,-3.99,-1.44,1.98,0.11,98.29,inf
2015,inf,-106.31,1.39,inf,12.56,3.86,0.49,47.62,-0.55,inf,23.69,-0.11,8.3,1.57,1.23,inf,11.12,0.35,0.64,1.1,47.51,inf,30.73,-3.63,-1.3,-0.46,3.99,0.13,70.46,inf
2016,inf,-38.73,1.36,inf,13.37,3.57,0.47,68.95,-0.53,inf,25.68,-0.3,8.59,-0.22,1.25,inf,12.3,0.35,0.64,1.06,48.01,inf,26.72,-9.23,-3.51,-1.22,3.63,0.13,57.14,inf
2017,inf,585.14,1.67,inf,11.11,3.43,0.52,-20.16,-0.6,inf,20.1,0.02,8.01,-5.44,1.35,inf,8.99,0.31,0.68,0.83,48.62,inf,30.86,0.59,0.28,0.09,4.98,0.15,19.43,6.73
2018,0.04,74.4,1.96,inf,13.88,4.2,0.67,-124.49,-0.75,inf,21.75,0.22,8.24,0.09,1.11,inf,7.87,0.34,0.65,0.95,49.25,inf,30.25,5.64,2.63,0.9,5.59,0.16,13.71,inf
2019,inf,96.46,2.05,7.74,16.71,4.83,0.79,-39.94,-0.89,11.19,24.14,0.19,9.02,inf,0.91,3.44,7.43,0.38,0.61,0.85,45.74,62.42,28.93,5.01,2.13,0.82,5.29,0.16,9.1,inf
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.33,9.88,inf,0.25,0.99,1.68,0.48,0.51,0.42,53.2,66.54,39.33,36.04,13.51,6.46,7.73,0.18,7.96,inf
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.46,9.65,inf,0.26,0.61,0.85,0.48,0.51,0.65,63.82,70.98,51.4,42.71,25.54,12.32,21.89,0.29,15.78,inf
2022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.18,9.88,inf,0.1,0.21,0.29,0.49,0.5,0.99,65.42,73.84,54.59,35.95,22.44,11.09,24.77,0.31,12.91,157.19
2023,inf,8.38,1.85,4.38,5.52,3.01,0.93,-658.11,-1.06,4.6,5.81,2.18,9.88,-0.72,0.1,0.23,0.29,0.5,0.5,0.99,65.42,68.83,54.59,35.95,22.03,11.09,24.77,0.31,12.91,157.19
