,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,8.69,9.65,0.47,inf,7.71,0.44,0.07,0.72,-0.18,inf,8.07,0.35,7.24,-0.32,inf,inf,inf,0.15,0.85,1.19,37.66,inf,5.67,4.53,4.85,0.72,inf,0.16,11.18,-11.35
2015,9.15,9.45,0.47,inf,6.47,0.41,0.07,0.38,-0.18,inf,5.59,0.37,7.39,1.84,inf,inf,inf,0.16,0.84,1.49,36.36,inf,6.36,4.36,5.0,0.79,inf,0.18,16.15,-8.58
2016,9.72,9.56,0.48,inf,5.89,0.44,0.08,1.07,-0.21,inf,5.88,0.39,7.77,3.77,inf,inf,inf,0.17,0.83,1.14,39.18,inf,7.39,4.55,4.98,0.87,inf,0.19,8.35,-12.24
2017,7.5,7.62,0.58,inf,6.49,0.76,0.09,0.2,-0.25,inf,5.29,0.63,8.25,0.12,inf,inf,inf,0.16,0.84,3.54,43.73,inf,11.73,9.99,7.63,1.21,inf,0.12,-1.61,-7.19
2018,6.66,8.56,0.65,inf,5.51,0.95,0.1,0.6,-0.25,inf,4.76,0.66,8.72,1.8,inf,inf,inf,0.15,0.85,1.37,51.87,inf,17.23,11.09,7.57,1.15,inf,0.1,-2.0,4.97
2019,4.43,10.42,0.79,7.13,7.44,1.19,0.12,3.82,-0.25,6.52,6.79,0.7,9.24,inf,inf,inf,inf,0.16,0.84,1.07,50.23,16.75,16.06,11.47,7.58,1.18,inf,0.1,-5.15,14.18
2020,7.54,12.2,0.68,inf,8.81,1.08,0.12,0.52,-0.27,inf,8.04,0.53,9.54,inf,inf,inf,inf,0.11,0.89,2.55,68.16,inf,12.2,8.81,5.54,0.58,inf,0.07,-7.18,6.86
2021,7.96,7.6,0.57,inf,4.74,0.73,0.06,0.16,-0.1,inf,4.27,0.75,10.07,inf,inf,inf,inf,0.09,0.9,16.4,57.41,inf,15.44,9.62,7.44,0.69,inf,0.07,-1.83,14.04
2022,8.96,13.72,0.49,inf,10.5,0.35,0.04,0.1,-0.07,inf,10.53,0.38,10.5,-0.27,inf,inf,inf,0.08,0.92,48.36,29.83,inf,3.35,2.56,3.66,0.29,inf,0.11,18.33,-9.87
2023,9.08,13.91,0.5,inf,10.64,0.36,0.04,0.1,-0.07,inf,10.56,0.38,10.5,inf,inf,inf,inf,0.08,0.92,48.36,29.83,inf,3.35,2.56,3.58,0.29,inf,0.11,18.33,-9.87
