,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.02,0.16,inf,0.05,inf,-0.78,0.7,0.3,2.96,4.51,inf,-5.67,-13.08,-14.23,-9.9,-13.69,0.76,5.99,inf
2015,inf,-419.71,25.67,inf,-513.83,25.13,15.61,37.31,-50.53,inf,inf,-0.01,0.15,7.06,0.12,inf,-2.47,0.61,0.39,1.91,-6.24,inf,-4.89,-5.99,-6.12,-3.72,-5.97,0.62,4.28,inf
2016,inf,1.71,0.34,inf,3.36,0.34,0.22,0.48,-0.66,inf,inf,3.62,18.17,0.0,-0.26,inf,-2.56,0.65,0.35,3.42,5.96,inf,10.13,19.86,19.92,13.04,8.22,0.66,2.09,20.69
2017,1.99,4.58,0.8,inf,3.83,0.64,0.58,0.9,-2.53,inf,2.7,3.4,19.41,-0.77,-0.32,inf,-1.54,0.72,0.28,6.21,25.92,inf,16.63,13.9,17.53,12.63,16.54,0.91,4.51,9.53
2018,14.28,4.96,1.52,inf,5.03,1.21,1.15,1.65,-5.25,inf,4.83,6.71,21.93,0.05,-0.12,inf,-0.38,0.76,0.24,9.41,34.31,inf,24.14,24.47,30.58,23.24,29.83,0.95,9.45,68.34
2019,3.06,5.27,1.0,4.34,5.39,0.98,0.73,1.13,-3.31,3.06,3.8,4.73,24.88,inf,-0.34,-1.47,-1.83,0.73,0.27,6.2,23.6,22.65,18.25,18.65,19.03,13.92,18.13,0.75,8.35,inf
2020,0.4,5.43,1.38,6.42,7.54,1.37,0.94,1.48,-4.33,3.86,4.53,6.36,25.08,inf,-0.54,-2.52,-2.96,0.68,0.32,5.27,36.04,21.31,18.15,25.21,25.34,17.34,10.61,0.69,15.93,inf
2021,8.06,7.5,2.37,6.53,7.32,2.16,1.73,3.8,-4.64,5.97,6.7,9.53,30.22,inf,-0.2,-0.54,-0.61,0.73,0.27,3.67,32.73,33.14,29.56,28.87,31.54,23.08,31.04,0.8,17.77,26.92
2022,17.11,11.8,1.0,15.95,28.44,1.0,0.76,1.64,-1.87,inf,inf,2.36,27.87,-0.16,-0.25,-4.05,-7.22,0.77,0.23,4.67,6.27,6.3,3.53,8.51,8.45,6.47,2.17,0.76,7.16,-2.85
2023,17.23,11.72,0.99,inf,28.25,1.0,0.76,1.63,-1.86,inf,28.96,2.36,27.87,-0.16,-0.25,inf,-7.22,0.77,0.23,4.67,6.27,inf,3.53,8.51,8.45,6.47,2.17,0.76,7.16,-2.85
