,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.7,23.3,inf,inf,inf,inf,0.39,0.61,1.97,12.49,inf,55.0,67.54,20.18,7.8,inf,0.12,-11.12,16.02
2015,7.48,9.15,2.28,inf,10.63,8.27,0.89,4.41,-1.52,inf,9.47,6.01,24.16,0.33,inf,inf,inf,0.39,0.61,1.94,21.03,inf,77.78,90.43,24.89,9.71,inf,0.11,-7.93,14.51
2016,10.04,6.29,1.69,inf,7.54,7.55,0.68,3.04,-1.28,inf,7.89,7.29,27.17,0.3,inf,inf,inf,0.4,0.6,1.86,19.74,inf,100.05,119.93,26.82,10.86,inf,0.09,-5.78,14.64
2017,13.53,21.67,2.36,inf,30.6,12.65,0.89,4.35,-1.67,inf,30.34,2.63,24.16,-0.34,inf,inf,inf,0.38,0.62,1.78,13.57,inf,41.34,58.38,10.89,4.11,inf,0.07,-9.76,8.05
2018,5.75,24.34,1.89,inf,-144.08,10.92,0.71,3.96,-1.31,inf,inf,1.83,23.54,-0.8,inf,inf,inf,0.38,0.62,1.66,37.04,inf,-7.58,44.87,7.77,2.93,inf,0.07,-13.37,5.77
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.18,23.76,inf,inf,inf,inf,0.39,0.61,1.64,18.46,-178.06,-14.36,153.11,9.19,3.54,inf,0.02,-27.17,-14.21
2020,5.64,8.27,2.12,-64.65,8.96,124.73,1.05,10.36,-1.29,-61.72,8.56,6.65,25.9,inf,inf,inf,inf,0.49,0.51,2.24,169.17,-192.91,inf,inf,25.66,12.7,inf,0.01,-41.88,2.02
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.21,22.61,inf,inf,inf,inf,0.46,0.54,3.17,135.87,-325.67,202.63,322.07,5.36,2.48,inf,0.01,-42.66,-30.14
2022,2.88,14.87,1.43,-11.74,20.68,59.77,0.69,5.29,-0.85,-13.52,23.82,2.37,24.72,0.16,inf,inf,inf,0.49,0.51,3.28,29.1,-509.1,289.0,401.83,9.6,4.66,inf,0.01,-33.4,-2.04
2023,2.12,11.97,1.15,-9.44,16.64,48.08,0.56,4.26,-0.69,-13.37,23.55,2.37,24.72,0.12,inf,inf,inf,0.49,0.51,3.28,29.1,-509.1,289.0,401.83,9.6,4.66,inf,0.01,-33.4,-2.04
