,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,4.49,9.47,0.54,inf,4.86,0.73,0.3,18.09,-0.34,inf,9.87,2.66,46.26,-0.39,0.56,inf,5.01,0.54,0.46,1.16,34.08,inf,15.0,7.7,5.75,3.13,5.63,0.41,4.78,-9.33
2015,0.57,-160.03,0.33,inf,5.89,0.48,0.17,4.35,-0.2,inf,15.45,-0.1,47.18,1.54,0.53,inf,9.56,0.52,0.48,1.39,29.63,inf,8.21,-0.3,-0.21,-0.11,3.23,0.35,3.44,inf
2016,1.84,10.06,0.74,inf,5.47,1.08,0.4,7.36,-0.47,inf,8.96,3.63,49.63,0.0,0.47,inf,3.49,0.54,0.46,1.52,38.4,inf,19.82,10.77,7.31,3.97,6.76,0.37,4.57,-1.34
2017,4.83,9.81,0.88,inf,5.75,1.27,0.51,12.3,-0.6,inf,8.59,4.42,49.26,0.34,0.43,inf,2.84,0.58,0.42,1.36,42.42,inf,22.11,12.95,8.98,5.18,8.09,0.4,4.64,3.07
2018,6.54,13.48,1.25,inf,8.45,1.65,0.7,15.08,-0.84,inf,11.95,4.57,49.12,4.14,0.52,inf,3.5,0.56,0.44,1.39,39.04,inf,19.47,12.22,9.29,5.18,7.87,0.42,4.88,6.63
2019,2.54,11.42,1.28,4.9,7.46,1.67,0.75,11.89,-0.89,6.49,9.87,5.95,53.2,inf,0.41,1.58,2.41,0.58,0.42,1.65,41.81,34.1,22.4,14.63,11.19,6.54,8.83,0.45,4.54,18.85
2020,50.99,7.64,0.97,3.24,4.87,1.17,0.53,10.12,-0.64,4.78,7.19,2.15,16.98,inf,0.46,1.54,2.32,0.55,0.45,1.44,44.99,36.06,23.96,15.28,12.65,6.94,9.69,0.45,6.86,inf
2021,7.43,8.99,0.71,3.03,5.71,0.82,0.38,7.41,-0.48,4.71,8.87,1.41,17.78,inf,0.4,1.68,3.16,0.53,0.47,1.34,36.46,27.07,14.36,9.12,7.95,4.23,6.79,0.46,7.89,4.37
2022,2.45,7.07,0.82,3.01,4.76,0.97,0.45,11.64,-0.56,4.53,7.17,2.22,19.08,0.12,0.42,1.52,2.41,0.55,0.45,1.26,37.49,32.1,20.27,13.65,11.63,6.39,9.21,0.47,7.38,8.52
2023,8.2,7.09,0.82,3.02,4.78,0.97,0.45,11.67,-0.56,4.54,7.19,2.22,19.08,0.12,0.42,1.52,2.41,0.55,0.45,1.26,37.49,32.1,20.27,13.65,11.63,6.39,9.21,0.47,7.38,8.52
