,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,0.91,42.21,1.25,8.42,13.97,1.29,0.75,5.62,-1.09,10.33,17.14,0.26,8.89,-1.13,0.28,1.91,3.17,0.6,0.4,1.76,31.16,15.3,9.22,3.05,2.97,1.79,4.73,0.59,14.21,-3.48
2015,0.62,132.25,1.13,9.12,19.78,1.13,0.67,5.22,-0.95,11.36,24.64,0.08,8.94,-1.86,0.28,2.24,4.85,0.6,0.4,1.81,27.5,12.36,5.7,0.85,0.85,0.51,3.22,0.6,13.22,-24.64
2016,0.57,58.29,1.93,10.44,18.41,1.82,1.07,9.52,-1.52,11.74,20.71,0.3,9.17,0.2,0.24,1.3,2.3,0.55,0.45,1.61,31.72,17.4,9.87,3.12,3.31,1.83,4.75,0.59,6.88,-8.22
2017,0.51,65.23,2.57,15.22,25.51,2.52,1.37,103.22,-1.84,17.35,29.08,0.42,10.7,1.68,0.36,2.13,3.57,0.53,0.47,1.06,34.15,16.57,9.89,3.87,3.94,2.1,5.67,0.54,8.47,9.06
2018,2.08,45.68,2.52,13.91,24.36,2.14,1.17,9.52,-1.71,16.32,28.59,0.59,10.7,1.13,0.44,2.41,4.23,0.46,0.54,1.63,35.51,15.39,8.79,4.69,5.53,2.55,5.75,0.54,9.95,7.03
2019,0.98,145.71,5.56,21.29,45.65,4.17,2.06,25.53,-2.77,23.57,50.54,0.4,10.39,inf,0.6,2.28,4.89,0.37,0.63,1.46,35.43,19.56,9.13,2.86,3.81,1.41,6.4,0.49,10.1,8.68
2020,inf,-231.16,9.86,37.4,209.3,4.95,2.61,29.1,-3.82,41.5,232.26,-0.31,7.35,inf,1.08,4.1,22.96,0.27,0.73,1.4,24.94,13.24,2.37,-2.14,-4.26,-1.13,1.07,0.53,20.3,inf
2021,1.74,-81.6,2.45,18.16,208.87,1.77,0.8,-225.1,-1.13,22.12,254.43,-0.41,13.76,inf,0.53,3.96,45.56,0.32,0.68,0.99,29.92,9.77,0.85,-2.17,-3.0,-0.97,-0.45,0.45,27.93,inf
2022,0.71,-22.67,1.03,4.04,9.81,0.61,0.31,4.98,-0.42,7.91,19.19,-0.61,13.33,-0.03,0.98,3.87,9.38,0.3,0.7,1.29,28.99,15.2,6.26,-2.71,-4.54,-1.35,3.94,0.5,27.93,inf
2023,1.3,-12.23,0.56,2.18,5.29,0.33,0.17,2.69,-0.23,6.05,14.67,-0.61,13.44,-0.01,0.98,3.87,9.38,0.3,0.7,1.29,28.99,15.2,6.26,-2.71,-4.54,-1.35,3.94,0.5,27.93,inf
