,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-7.11,7.82,inf,12.4,0.39,0.21,-4.46,-0.36,inf,inf,-0.06,0.05,0.09,11.95,inf,18.96,0.03,0.97,0.92,13.93,inf,3.15,-5.49,-109.91,-2.93,4.26,0.53,-6.03,inf
2015,inf,-0.79,-1.44,inf,5.4,0.08,0.05,-0.33,-0.08,inf,inf,-0.11,-0.06,-0.01,inf,inf,38.8,-0.03,1.05,0.76,17.23,inf,1.5,-10.27,-181.71,-5.75,2.53,0.56,-6.45,inf
2016,inf,160.42,436.7,inf,78.82,19.27,11.61,120.89,-21.04,inf,inf,0.15,0.05,-0.7,9.0,inf,1.62,0.03,0.98,1.27,21.08,inf,24.45,12.01,272.23,7.23,56.52,0.6,-1.37,inf
2017,inf,72.21,37.57,inf,54.78,12.11,7.24,139.76,-9.39,inf,inf,0.23,0.43,1.33,0.66,inf,0.96,0.19,0.77,1.31,15.4,inf,22.11,16.77,52.03,10.02,21.27,0.6,0.75,inf
2018,inf,495.77,20.92,inf,67.04,4.59,3.95,46.87,-5.69,inf,inf,0.02,0.45,-5.41,1.03,inf,3.29,0.19,0.78,1.38,17.2,inf,6.84,0.93,4.22,0.8,9.88,0.86,16.05,inf
2019,inf,10.03,1.41,4.12,5.03,0.31,0.31,5.33,-0.46,inf,inf,3.98,28.38,inf,1.02,2.98,3.63,0.22,0.75,1.21,18.32,7.61,6.23,3.13,14.03,3.06,11.35,0.98,16.77,inf
2020,1.39,5.82,2.47,3.46,3.94,0.7,0.82,5.05,-1.4,3.96,4.52,3.8,8.97,inf,0.37,0.47,0.54,0.3,0.63,1.6,21.71,20.16,17.7,11.99,46.31,14.09,32.96,1.18,20.13,inf
2021,8.08,5.1,2.24,3.51,3.85,0.55,0.76,2.32,-2.2,4.38,4.81,2.04,4.66,inf,0.57,0.9,0.99,0.34,0.59,1.98,20.82,15.72,14.32,10.81,43.83,14.81,28.29,1.37,32.29,29.54
2022,5.59,4.85,1.23,2.62,2.92,0.3,0.49,1.18,-1.39,3.48,3.88,1.42,5.6,-0.15,0.41,0.87,0.97,0.4,0.52,2.75,17.7,11.34,10.18,6.13,25.35,10.07,22.04,1.64,32.29,20.48
2023,5.14,5.27,1.34,2.85,3.17,0.32,0.53,1.28,-1.51,3.7,4.12,1.42,5.6,-0.16,0.41,0.87,0.97,0.4,0.52,2.75,17.7,11.34,10.18,6.13,25.35,10.07,22.04,1.64,32.29,20.48
