,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,7.51,6.12,0.78,inf,5.17,0.69,0.32,0.68,-1.02,inf,6.33,1.33,10.41,-0.63,0.18,inf,1.16,0.41,0.56,3.17,23.26,inf,13.27,11.22,12.74,5.2,8.21,0.46,37.2,21.08
2015,12.71,4.35,0.33,inf,3.3,0.34,0.14,0.3,-0.37,inf,5.36,0.81,10.73,-0.11,0.2,inf,2.07,0.42,0.54,3.64,21.06,inf,10.4,7.88,7.51,3.18,5.36,0.4,14.95,-5.78
2016,5.94,-58.97,0.44,inf,236.4,0.52,0.17,0.4,-0.45,inf,351.07,-0.08,10.39,0.54,0.21,inf,114.67,0.39,0.57,3.34,11.51,inf,0.22,-0.87,-0.74,-0.29,-0.7,0.33,4.84,inf
2017,inf,-6.03,0.6,inf,-6.57,1.15,0.21,0.53,-0.48,inf,-9.68,-0.94,9.48,-0.01,0.28,inf,-3.11,0.35,0.61,3.35,4.98,inf,-17.54,-19.12,-9.88,-3.47,-5.95,0.18,-12.29,inf
2018,8.16,-14.85,0.9,inf,-37.33,0.99,0.25,0.77,-0.48,inf,-41.82,-0.51,8.36,0.32,0.11,inf,-4.49,0.28,0.7,2.95,27.17,inf,-2.64,-6.65,-6.04,-1.67,-2.23,0.25,-7.73,inf
2019,5.87,22.9,1.83,10.05,11.92,1.58,0.49,1.27,-0.99,10.68,12.67,0.66,8.19,inf,0.11,0.63,0.74,0.27,0.71,4.52,33.68,15.7,13.24,6.89,7.99,2.16,7.14,0.31,-4.5,-13.36
2020,6.19,17.76,1.64,7.64,9.07,1.34,0.39,0.96,-0.82,8.19,9.72,0.74,7.99,inf,0.12,0.55,0.65,0.24,0.74,4.66,34.82,17.51,14.75,7.53,9.22,2.22,7.89,0.29,-0.89,-1.77
2021,5.43,11.95,1.47,5.1,5.9,1.07,0.34,0.81,-0.68,5.7,6.61,1.06,8.67,inf,0.17,0.61,0.7,0.23,0.74,5.75,36.43,21.06,18.18,8.98,12.27,2.81,10.5,0.31,5.52,inf
2022,7.48,11.23,1.57,5.13,5.81,1.08,0.36,1.26,-0.64,5.64,6.38,1.39,9.97,0.36,0.18,0.51,0.58,0.2,0.77,2.88,35.22,21.15,18.68,9.66,15.7,3.2,12.29,0.33,23.53,inf
2023,7.32,11.48,1.6,5.24,5.93,1.11,0.37,1.29,-0.65,5.75,6.51,1.39,9.97,0.37,0.16,0.51,0.58,0.23,0.77,2.88,35.22,21.15,18.68,9.66,13.97,3.2,12.29,0.33,23.53,inf
