,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.23,inf,0.07,0.25,0.75,0.38,18.65,inf,inf,inf,inf,407.31,683.8,0.41,inf,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-6.25,-5.62,inf,inf,inf,-4.69,-0.28,1.28,0.13,-26.87,inf,-54.84,-129.04,-111.1,-31.46,-47.94,0.24,inf,inf
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-5.79,-7.71,inf,inf,inf,-5.61,-0.45,1.45,0.05,-57.1,inf,-120.55,-351.71,-75.05,-33.89,-105.57,0.1,inf,inf
2017,inf,-0.06,0.32,inf,-0.15,0.29,0.09,0.71,-0.14,inf,inf,-16.36,3.25,0.0,-0.11,inf,0.05,0.29,0.71,1.67,-19.92,inf,-190.94,-463.33,-503.56,-146.72,-212.01,0.32,7.51,inf
2018,inf,-3.89,-6.94,inf,-5.18,4.85,4.09,726.8,-7.35,inf,inf,-0.25,-0.14,0.06,inf,inf,0.31,-0.59,1.59,1.01,43.97,inf,-93.69,-124.65,-178.29,-104.97,172.88,0.84,1.01,inf
2019,inf,-6.25,-1.64,-34.83,-9.14,1.81,0.59,-3.29,-0.71,inf,inf,-0.47,-1.79,inf,inf,-29.05,-7.63,-0.36,1.36,0.48,12.47,-5.19,-19.75,-28.88,-26.22,-9.44,-28.54,0.33,-15.03,inf
2020,inf,-1.3,-0.57,-3.36,-2.38,1.28,1.48,-1.85,-2.65,inf,inf,-1.07,-2.45,inf,inf,0.7,0.5,-2.6,3.6,0.36,-10.45,-38.26,-53.9,-98.6,-43.56,-113.37,23.96,1.15,-10.63,inf
2021,inf,2.84,-0.29,0.99,1.2,0.87,0.7,12.96,-1.39,inf,inf,0.18,-1.77,inf,inf,-0.07,-0.09,-2.36,3.36,1.12,57.25,87.88,72.59,30.59,-10.38,24.54,-24.63,0.8,-1.34,inf
2022,inf,-282.17,-2.05,inf,38.14,3.11,3.01,10.08,-7.27,inf,35.29,-0.01,-0.93,2.75,inf,inf,-2.85,-1.47,2.47,2.04,54.54,inf,8.16,-1.1,-0.73,-1.07,-5.39,0.97,-1.34,inf
2023,inf,-258.65,-1.88,inf,34.96,2.85,2.76,9.24,-6.66,inf,32.11,-0.01,-0.93,2.52,inf,inf,-2.85,-1.47,2.47,2.04,54.54,inf,8.16,-1.1,-0.73,-1.07,-5.39,0.97,-1.34,inf
