,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-18.88,7.45,12.8,109.89,1.66,1.35,-7.28,-1.76,inf,inf,-0.02,0.05,1.21,1.26,2.17,18.64,0.18,0.82,0.55,33.05,13.01,1.51,-8.81,-39.48,-7.17,2.64,0.81,-3.73,inf
2015,inf,-59.22,10.27,17.43,-144.25,1.9,1.36,-8.85,-1.96,inf,inf,-0.01,0.04,0.98,2.37,4.02,-33.27,0.13,0.87,0.67,28.18,10.89,-1.32,-3.21,-17.34,-2.3,-2.09,0.72,1.83,inf
2016,inf,-239.67,10.95,6.18,9.9,1.88,1.14,15.91,-2.31,inf,inf,-0.02,0.33,3.28,3.39,1.91,3.06,0.1,0.9,1.16,40.45,30.41,18.99,-0.78,-4.57,-0.48,23.4,0.61,5.99,inf
2017,inf,8.35,149.63,inf,3.76,1.61,1.1,-4.78,-1.86,inf,inf,0.41,0.02,0.0,51.36,inf,1.29,0.01,0.99,0.64,36.4,inf,42.89,19.32,inf,13.15,61.29,0.68,6.35,263.43
2018,inf,9.19,2.91,2.4,3.07,1.07,0.61,-2.88,-0.93,inf,inf,0.26,0.83,-0.26,1.41,1.17,1.49,0.21,0.79,0.62,51.77,44.41,34.71,11.6,31.62,6.64,34.86,0.57,7.11,inf
2019,inf,-3.66,8.52,-8.23,-5.09,3.42,1.38,-4.7,-1.73,inf,inf,-1.39,0.6,inf,0.07,-0.07,-0.04,0.16,0.84,0.41,3.08,-41.5,-67.17,-93.42,-233.06,-37.66,-104.08,0.4,-1.4,inf
2020,inf,246.72,11.38,10.59,47.12,3.47,2.24,-11.18,-3.07,inf,inf,0.03,0.65,inf,-0.13,-0.12,-0.55,0.2,0.8,0.57,30.06,32.74,7.36,1.41,4.61,0.91,15.37,0.65,4.04,inf
2021,inf,-17.44,362.24,336.16,-17.57,8.78,5.55,-21.85,-8.09,inf,inf,-0.43,0.02,inf,2.57,2.39,-0.12,0.02,0.98,0.55,22.43,2.61,-49.96,-50.31,inf,-31.81,-241.13,0.63,-8.48,inf
2022,inf,-14.3,-24.35,108.28,-14.83,7.1,4.51,-15.4,-7.09,157.52,-21.58,-0.35,-0.21,1.2,inf,-1.26,0.17,-0.19,1.19,0.55,13.15,6.56,-47.85,-49.64,-170.25,-31.53,471.95,0.64,-8.48,inf
2023,inf,-15.16,-25.81,114.78,-15.72,7.52,4.78,-16.32,-7.51,163.75,-22.43,-0.35,-0.21,1.27,inf,-1.26,0.17,-0.19,1.19,0.55,13.15,6.56,-47.85,-49.64,-170.25,-31.53,471.95,0.64,-8.48,inf
