,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,10.28,7.64,0.7,2.21,3.88,0.3,0.19,1.31,-0.29,3.45,6.06,3.01,32.67,-0.29,0.47,1.49,2.61,0.27,0.73,1.74,25.7,13.65,7.78,3.95,9.21,2.48,8.88,0.63,6.84,21.69
2015,5.2,424.18,0.72,2.79,6.04,0.35,0.19,0.97,-0.3,4.26,9.22,0.05,31.91,-4.32,0.55,2.14,4.63,0.27,0.73,2.15,25.6,12.65,5.84,0.08,0.17,0.05,5.95,0.54,0.1,-54.01
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.53,2.85,11.95,0.28,0.72,1.7,15.01,10.87,2.59,-1.4,-2.39,-0.68,1.53,0.48,-7.33,inf
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.54,inf,1.1,0.39,0.61,0.97,18.11,inf,28.57,18.2,31.27,12.09,23.61,0.66,-1.73,31.81
2018,21.21,7.46,0.59,3.04,4.53,0.37,0.26,-25.12,-0.39,5.68,8.48,0.54,6.87,-0.12,0.5,2.55,3.8,0.45,0.55,0.97,20.51,12.18,8.16,4.96,7.92,3.53,8.49,0.71,6.49,5.86
2019,0.91,18.69,1.94,8.46,11.63,1.05,0.85,30.24,-1.32,8.02,11.03,0.75,7.23,inf,0.48,2.11,2.91,0.44,0.56,1.09,21.62,12.45,9.05,5.63,10.35,4.57,9.77,0.81,11.8,20.01
2020,0.43,11.44,1.57,6.75,9.02,1.15,0.69,10.17,-1.14,6.05,8.09,1.12,8.16,inf,0.37,1.61,2.15,0.44,0.56,1.21,25.31,16.99,12.72,10.03,13.75,6.05,9.67,0.6,11.42,190.5
2021,2.95,7.71,1.49,4.88,6.3,0.72,0.57,8.58,-0.99,5.65,7.29,1.61,8.34,inf,0.57,1.85,2.39,0.38,0.62,1.19,23.96,14.86,11.51,9.39,19.34,7.39,12.49,0.79,26.85,inf
2022,12.69,4.69,0.99,2.58,3.27,0.42,0.39,-16.0,-0.63,3.72,4.71,1.92,9.1,0.1,0.58,1.51,1.91,0.39,0.61,0.94,23.54,16.13,12.74,8.88,21.11,8.26,16.93,0.93,26.85,inf
2023,3.59,3.96,0.84,2.18,2.76,0.35,0.33,-13.51,-0.53,3.54,4.49,1.92,9.1,0.09,0.58,1.51,1.91,0.39,0.61,0.94,23.54,16.13,12.74,8.88,21.11,8.26,16.93,0.93,26.85,inf
