,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,12.42,12.62,3.44,inf,5.37,2.03,0.89,-16.91,-1.03,inf,8.55,0.84,3.1,0.68,2.04,inf,3.18,0.26,0.73,0.72,41.4,inf,37.77,16.07,27.27,7.04,14.52,0.44,21.1,17.32
2015,8.33,26.1,1.8,inf,2.98,1.04,0.36,-4.67,-0.42,inf,7.65,0.2,2.83,-0.34,2.82,inf,4.67,0.2,0.79,0.65,45.83,inf,34.87,3.98,6.89,1.39,11.49,0.35,13.89,-28.67
2016,3.2,-4.77,9.21,inf,5.94,1.63,0.7,-9.1,-0.84,inf,11.47,-1.73,0.89,0.0,8.56,inf,5.53,0.08,0.91,0.69,45.37,inf,27.38,-34.1,-192.94,-14.61,5.35,0.43,9.13,inf
2017,3.43,17.51,10.43,inf,5.67,2.24,0.88,18.09,-1.21,inf,9.25,0.7,1.18,-0.12,6.57,inf,3.57,0.08,0.9,1.22,46.41,inf,39.52,12.8,59.59,5.02,12.96,0.39,7.99,-1.44
2018,7.7,13.99,8.18,inf,4.43,1.65,0.52,4.9,-0.75,inf,8.48,0.67,1.15,-3.06,7.49,inf,4.05,0.06,0.94,1.54,43.84,inf,37.37,11.82,58.49,3.74,10.57,0.32,3.73,-1.2
2019,inf,-49.1,20.0,6.68,11.45,2.3,0.79,-5.42,-0.99,11.57,19.82,-0.33,0.82,inf,14.63,4.89,8.37,0.04,0.96,0.58,38.05,34.48,20.13,-4.69,-40.73,-1.61,5.64,0.34,6.12,inf
2020,inf,-17.62,132.96,5.31,8.63,1.87,0.67,-9.72,-0.8,10.32,16.76,-0.76,0.1,inf,125.34,5.01,8.13,0.01,0.99,0.69,41.08,35.17,21.64,-10.6,-754.68,-3.82,4.31,0.36,7.89,inf
2021,inf,13.7,2.4,2.26,3.25,1.1,0.31,-3.43,-0.37,5.69,8.19,0.53,3.05,inf,3.65,3.43,4.94,0.13,0.86,0.64,39.55,48.56,33.71,8.0,17.55,2.27,10.42,0.28,10.46,inf
2022,0.17,12.61,1.23,1.46,2.01,0.51,0.17,-2.51,-0.19,6.26,8.59,0.35,3.62,-0.37,4.4,4.79,6.58,0.13,0.86,0.63,31.79,34.91,25.45,4.05,10.67,1.36,8.99,0.33,14.6,-8.94
2023,0.15,14.68,1.43,1.7,2.34,0.6,0.2,-2.92,-0.22,6.5,8.92,0.35,3.62,-0.44,4.03,4.79,6.58,0.14,0.86,0.63,31.79,34.91,25.45,4.05,9.75,1.36,8.99,0.33,14.6,-8.94
