,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.27,11.46,inf,0.79,inf,2.33,0.37,0.63,1.94,18.65,inf,15.76,9.2,19.77,7.4,12.22,0.8,8.88,-5.01
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.92,10.13,inf,1.25,inf,3.66,0.27,0.73,1.29,16.21,inf,11.92,6.61,18.91,5.01,10.03,0.76,10.75,-3.8
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.82,10.31,inf,0.91,inf,2.85,0.3,0.7,inf,15.53,inf,13.44,7.4,17.6,5.27,10.84,0.71,5.94,-6.51
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.93,10.48,inf,1.22,inf,3.44,0.31,0.69,0.95,16.33,inf,12.38,6.45,18.44,5.77,11.1,0.9,10.23,2.1
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.14,11.84,inf,1.32,inf,4.13,0.29,0.71,1.92,14.4,inf,11.75,6.63,18.06,5.28,8.99,0.8,11.98,5.06
2019,4.16,9.79,1.82,4.22,5.22,0.72,0.61,5.59,-0.91,6.94,8.59,2.55,13.76,inf,1.13,2.63,3.26,0.34,0.66,1.51,18.76,16.95,13.7,7.31,18.56,6.28,11.53,0.86,7.24,2.43
2020,1.42,7.56,1.5,3.77,4.71,0.66,0.48,43.9,-0.73,6.69,8.37,3.06,15.39,inf,1.03,2.59,3.24,0.32,0.68,1.03,19.42,17.39,13.9,8.66,19.85,6.38,10.24,0.74,4.01,9.79
2021,9.45,8.03,2.04,3.89,4.71,0.78,0.62,5.76,-0.93,6.14,7.45,4.24,16.69,inf,1.35,2.58,3.12,0.3,0.7,1.47,20.46,19.98,16.47,9.66,25.42,7.7,12.92,0.8,12.33,18.51
2022,22.3,6.31,2.17,2.96,3.48,0.74,0.63,11.96,-0.87,5.23,6.15,5.09,14.79,0.32,1.56,2.13,2.5,0.29,0.71,1.23,26.12,25.07,21.32,11.75,34.42,9.93,17.65,0.85,7.62,21.37
2023,19.6,7.09,2.44,3.32,3.91,0.83,0.7,13.44,-0.98,5.49,6.46,5.09,14.79,0.36,1.56,2.13,2.5,0.29,0.71,1.23,26.12,25.07,21.32,11.75,34.42,9.93,17.65,0.85,7.62,21.37
