,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-6.81,0.47,-26.98,-4.63,0.24,0.31,1.15,-0.62,-42.48,-7.29,-1.03,14.77,0.04,0.21,-12.18,-2.09,0.66,0.34,2.23,4.89,-0.87,-5.09,-3.46,-6.95,-4.6,-10.29,1.33,10.36,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.35,14.45,inf,0.35,3.94,-34.55,0.6,0.4,1.67,6.84,4.46,-0.51,-1.23,-2.41,-1.44,-1.73,1.17,1.01,inf
2016,inf,-0.34,1.05,-0.48,-0.39,0.15,0.27,1.04,-0.64,-1.26,-1.04,-10.92,3.54,0.0,1.65,-0.75,-0.61,0.26,0.74,1.79,5.19,-31.75,-38.72,-44.59,-308.56,-79.13,-99.41,1.77,-0.15,inf
2017,inf,4.62,1.46,2.56,3.3,0.23,0.48,1.89,-1.34,4.38,5.65,1.51,4.8,-0.04,0.74,1.31,1.69,0.33,0.67,1.66,15.67,8.78,6.82,4.87,31.51,10.41,20.61,2.14,1.69,153.09
2018,9.43,5.7,2.03,3.67,4.23,0.33,0.68,2.09,-2.06,4.77,5.5,2.1,5.9,0.15,0.61,1.1,1.26,0.33,0.67,1.95,15.66,8.97,7.78,5.77,35.66,11.94,20.3,2.07,2.71,10.96
2019,2.0,9.77,2.46,8.23,11.01,0.57,1.11,4.07,-2.57,9.75,13.04,1.87,7.4,inf,0.5,1.66,2.21,0.45,0.55,1.93,12.13,6.94,5.19,5.85,25.24,11.4,13.27,1.95,1.48,inf
2020,0.34,24.46,2.66,13.57,21.94,0.62,1.07,3.75,-2.6,23.97,38.76,0.78,7.19,-0.35,0.7,3.56,5.75,0.4,0.6,1.94,11.39,4.56,2.82,2.53,10.87,4.36,4.38,1.72,1.48,inf
2021,inf,24.46,2.66,13.57,21.94,0.62,1.07,3.75,-2.6,23.97,38.76,0.78,7.19,-0.35,0.7,3.56,5.75,0.4,0.6,1.94,11.39,4.56,2.82,2.53,10.87,4.36,4.38,1.72,1.48,inf
2022,inf,24.46,2.66,13.57,21.94,0.62,1.07,3.75,-2.6,23.97,38.76,0.78,7.19,-0.35,0.7,3.56,5.75,0.4,0.6,1.94,11.39,4.56,2.82,2.53,10.87,4.36,4.38,1.72,1.48,inf
2023,inf,24.46,2.66,13.57,21.94,0.62,1.07,3.75,-2.6,23.97,38.76,0.78,7.19,-0.35,0.7,3.56,5.75,0.4,0.6,1.94,11.39,4.56,2.82,2.53,10.87,4.36,4.38,1.72,1.48,inf
