,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,20.88,-2.59,0.14,-43.75,-4.01,0.26,0.05,0.7,-0.07,-241.04,-22.09,-2.24,41.8,0.05,0.61,-193.77,-17.76,0.39,0.61,1.58,45.82,-0.59,-6.49,-10.06,-5.36,-2.1,-3.71,0.21,3.13,inf
2015,inf,-0.54,0.19,-0.73,-0.62,0.24,0.05,5.82,-0.06,-4.52,-3.86,-10.68,31.12,0.0,0.93,-3.67,-3.14,0.28,0.72,1.05,47.86,-32.84,-38.49,-44.31,-34.31,-9.65,-14.74,0.22,1.8,inf
2016,inf,9.01,0.7,1.76,1.93,0.51,0.18,-16.54,-0.22,4.03,4.43,2.53,32.68,-0.07,0.88,2.22,2.44,0.26,0.74,0.94,73.12,29.05,26.45,5.68,7.75,2.01,8.18,0.35,12.2,-1.7
2017,inf,-14.83,0.62,7.34,4.21,0.89,0.15,8.25,-0.19,18.15,10.4,-1.3,31.3,0.1,0.89,10.56,6.05,0.24,0.75,1.09,67.87,12.1,21.12,-5.99,-4.17,-1.02,4.69,0.17,1.0,inf
2018,inf,2.47,0.59,1.81,1.79,1.31,0.18,3.18,-0.24,4.48,4.43,9.8,41.06,0.0,0.85,2.61,2.58,0.31,0.69,1.28,77.83,72.52,73.22,53.1,23.88,7.32,14.13,0.14,0.94,inf
2019,2.14,4.78,0.72,4.12,6.05,1.84,0.29,3.39,-0.37,6.96,10.22,7.91,52.42,inf,0.5,2.83,4.16,0.4,0.6,1.59,75.55,44.73,30.48,38.58,15.09,6.03,6.11,0.16,-1.65,inf
2020,4.43,9.08,0.78,6.53,6.67,1.98,0.32,3.06,-0.43,9.96,10.18,4.04,46.83,inf,0.41,3.42,3.5,0.41,0.59,1.71,72.63,30.32,29.66,21.8,8.63,3.54,6.62,0.16,-2.25,inf
2021,7.18,9.28,0.69,4.24,4.19,1.51,0.28,3.3,-0.35,6.38,6.31,3.6,48.52,inf,0.35,2.15,2.12,0.4,0.59,1.66,72.05,35.67,36.1,16.31,7.42,3.0,5.97,0.18,-10.51,10.51
2022,1.84,26.66,0.87,10.74,12.55,2.84,0.36,4.18,-0.44,14.52,16.98,1.58,48.25,-0.75,0.31,3.75,4.38,0.41,0.59,1.88,53.46,26.5,22.66,10.67,3.29,1.35,4.11,0.13,2.97,inf
2023,2.32,21.12,0.69,8.5,9.94,2.25,0.28,3.31,-0.35,12.34,14.43,1.58,48.12,-0.59,0.3,3.75,4.38,0.41,0.59,1.88,53.46,26.5,22.66,10.67,3.27,1.35,4.11,0.13,2.97,inf
