,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.79,15.34,inf,0.84,4.22,50.86,0.22,0.78,1.0,0.4,4.84,0.4,-1.24,-5.13,-1.14,-0.39,0.91,3.82,inf
2015,inf,16.55,0.59,1.74,3.54,0.12,0.13,22.85,-0.19,4.92,10.03,0.6,16.97,-0.09,1.08,3.19,6.5,0.21,0.79,1.02,3.46,7.05,3.46,0.74,3.56,0.76,6.44,1.03,7.1,-40.43
2016,0.95,inf,1.55,5.69,6.03,0.36,0.31,-24.63,-0.42,7.58,8.03,-0.02,16.1,11.41,0.52,1.89,2.0,0.18,0.82,0.96,5.03,6.37,6.01,-0.03,-0.13,-0.02,11.32,0.76,3.24,inf
2017,0.77,-3.12,1.56,1.84,2.85,0.21,0.19,-2.5,-0.25,3.65,5.64,-5.24,10.47,0.0,1.48,1.8,2.79,0.11,0.89,0.8,7.34,11.35,7.34,-6.7,-48.47,-5.45,9.75,0.81,5.61,inf
2018,inf,-16.61,1.82,4.76,9.66,0.36,0.28,12.93,-0.41,7.67,15.57,-1.88,17.22,0.26,1.11,2.91,5.91,0.16,0.84,1.07,3.74,7.6,3.74,-2.18,-10.94,-1.7,5.82,0.78,9.73,inf
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.88,19.8,inf,0.66,1.1,1.51,0.15,0.85,1.12,11.68,16.11,11.68,5.28,19.58,2.94,16.9,0.56,6.77,inf
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.97,13.67,inf,1.27,1.26,1.7,0.09,0.91,0.92,13.07,17.53,13.07,6.33,36.34,3.24,19.3,0.51,2.54,57.52
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.78,12.04,inf,2.42,1.82,2.35,0.07,0.88,1.01,16.64,15.34,11.89,5.53,47.99,3.49,21.56,0.63,12.36,inf
2022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.15,12.12,inf,2.59,1.47,1.83,0.08,0.92,0.92,22.86,22.43,18.06,7.52,58.97,4.74,27.79,0.63,7.49,inf
2023,inf,1.16,0.69,0.41,0.48,0.09,0.06,-2.74,-0.07,1.97,2.32,7.15,12.12,0.05,2.59,1.56,1.83,0.08,0.92,0.92,22.86,21.22,18.06,7.52,58.97,4.74,27.79,0.63,7.49,inf
