,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,4.26,-5.1,0.2,inf,-1.58,0.92,0.13,1.3,-0.15,inf,inf,-0.74,18.42,0.03,0.12,inf,-0.93,0.62,0.38,2.16,-4.48,inf,-58.03,-17.98,-3.99,-2.48,-12.5,0.14,inf,inf
2015,inf,2.59,0.2,inf,-7.39,0.78,0.14,1.36,-0.17,inf,inf,1.62,20.59,-0.01,0.06,inf,-2.24,0.69,0.31,2.62,17.89,inf,-10.55,30.13,7.86,5.44,-3.18,0.18,6.81,33.74
2016,1.19,5.77,0.44,inf,-812.84,1.53,0.28,2.48,-0.35,inf,inf,1.49,19.57,-0.72,0.02,inf,-29.35,0.64,0.36,2.35,15.94,inf,-0.19,26.61,7.61,4.88,-2.81,0.18,4.72,inf
2017,4.91,2.82,0.41,inf,3.04,1.6,0.27,1.9,-0.35,inf,inf,3.22,22.19,0.02,-0.06,inf,-0.45,0.66,0.34,2.84,11.09,inf,52.75,56.87,14.53,9.57,8.11,0.17,3.72,inf
2018,8.26,6.65,0.78,inf,520.45,2.13,0.5,2.4,-0.73,inf,inf,2.75,23.52,-0.45,-0.18,inf,-117.73,0.65,0.35,3.05,19.33,inf,0.41,32.08,11.68,7.58,-1.76,0.24,9.32,19.3
2019,1.77,14.73,1.38,33.59,39.14,3.11,0.91,2.86,-1.52,inf,inf,2.51,26.8,inf,-0.34,-8.36,-9.75,0.66,0.34,4.82,19.02,9.25,7.94,21.1,9.36,6.17,0.35,0.29,23.78,inf
2020,1.92,14.04,3.88,18.69,19.47,6.23,1.63,9.04,-2.87,inf,inf,5.37,19.45,inf,-0.63,-3.03,-3.16,0.42,0.58,1.71,46.2,33.35,32.01,44.39,27.62,11.6,8.99,0.26,17.64,27.12
2021,10.64,18.73,3.81,45.37,50.02,5.31,1.72,7.11,-2.53,inf,inf,4.06,19.97,inf,-0.42,-5.03,-5.54,0.45,0.55,4.06,27.39,11.7,10.61,28.34,20.32,9.18,2.16,0.32,20.69,22.22
2022,1.3,36.93,2.23,-102.94,-83.11,4.72,1.26,3.21,-2.28,inf,inf,1.84,30.43,-0.68,-0.39,17.9,14.45,0.56,0.44,8.34,8.64,-4.58,-5.67,12.77,6.05,3.42,-3.59,0.27,20.52,-10.61
2023,2.18,22.0,1.33,-61.32,-49.51,2.81,0.75,1.91,-1.36,-34.29,-27.69,1.84,30.43,-0.4,-0.39,17.9,14.45,0.56,0.44,8.34,8.64,-4.58,-5.67,12.77,6.05,3.42,-3.59,0.27,20.52,-10.61
