,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,1.38,22.73,1.81,inf,13.88,1.21,0.65,2.09,-1.48,inf,14.05,1.08,13.51,9.61,0.02,inf,0.17,0.36,0.63,2.28,19.81,inf,8.73,5.33,7.96,2.88,5.49,0.54,6.56,-2.68
2015,0.6,92.53,1.53,inf,20.27,1.1,0.49,1.72,-1.09,inf,22.89,0.33,19.73,-1.33,0.2,inf,2.63,0.32,0.67,2.08,18.5,inf,5.43,1.19,1.65,0.53,0.98,0.45,16.7,-15.88
2016,0.63,20.24,0.94,inf,16.51,0.55,0.31,1.01,-0.74,inf,19.88,0.79,16.94,0.14,0.19,inf,3.37,0.33,0.66,2.11,19.92,inf,3.35,2.73,4.67,1.53,2.72,0.56,16.85,30.23
2017,1.56,17.41,1.1,inf,13.48,0.79,0.37,1.04,-0.92,inf,15.17,1.15,18.22,0.38,0.14,inf,1.69,0.34,0.65,2.53,18.71,inf,5.85,4.53,6.32,2.15,3.65,0.47,9.04,4.04
2018,0.61,-24.0,1.08,inf,155.73,0.86,0.37,1.02,-0.98,inf,179.16,-0.9,20.12,0.13,0.16,inf,23.43,0.34,0.65,2.33,14.99,inf,0.55,-3.57,-4.49,-1.53,-0.05,0.43,6.54,inf
2019,inf,-11.09,1.03,94.7,-22.7,1.4,0.34,1.66,-1.81,64.02,-15.35,-1.78,19.15,inf,-0.33,-30.67,7.35,0.33,0.66,1.34,13.67,1.47,-6.15,-12.58,-9.29,-3.09,-7.3,0.25,-6.86,inf
2020,inf,-1.81,0.45,-60.46,-3.9,0.33,0.12,0.34,-0.29,-144.23,-9.3,-4.88,19.84,inf,0.62,-83.77,-5.4,0.27,0.72,2.53,12.25,-0.55,-8.56,-18.41,-24.62,-6.6,-5.12,0.36,-0.66,inf
2021,inf,-66.87,1.23,13.06,17.42,0.81,0.32,1.08,-0.77,18.83,25.14,-0.37,20.11,inf,0.55,5.78,7.71,0.26,0.73,2.08,15.61,6.21,4.65,-1.21,-1.85,-0.48,1.75,0.4,1.13,inf
2022,inf,-11.11,0.72,-517.34,-19.07,0.45,0.2,0.8,-0.46,-744.56,-27.45,-1.29,19.9,-0.04,0.35,-227.22,-8.38,0.25,0.72,1.79,20.09,-0.09,-2.37,-4.07,-7.12,-1.8,-1.82,0.44,4.54,inf
2023,inf,-16.14,1.04,-751.6,-27.71,0.66,0.29,1.16,-0.67,-978.82,-36.08,-1.29,19.9,-0.07,0.32,-227.22,-8.38,0.28,0.72,1.79,20.09,-0.09,-2.37,-4.07,-6.47,-1.8,-1.82,0.44,4.54,inf
