,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.73,9.74,inf,-0.34,inf,-9.54,0.8,0.2,12.15,51.86,inf,18.27,38.71,7.52,6.03,2.66,0.16,inf,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.35,10.12,inf,-0.28,inf,3.83,0.78,0.22,8.47,49.04,inf,-39.6,18.87,3.48,2.73,-7.01,0.14,28.39,21.34
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.58,10.46,inf,-0.31,inf,-7.01,0.78,0.22,5.63,49.47,inf,25.46,32.09,5.5,4.29,3.39,0.13,10.52,10.66
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.34,11.7,inf,-0.5,inf,-4.58,0.79,0.21,7.23,54.61,inf,68.23,71.23,11.49,9.07,7.72,0.13,1.65,34.08
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.6,12.04,inf,-0.51,inf,-3.9,0.81,0.19,9.93,42.48,inf,52.76,53.34,13.29,10.78,8.88,0.2,10.4,13.61
2019,11.92,19.74,1.47,8.62,20.23,3.83,0.93,2.83,-1.72,5.67,13.32,0.81,10.89,inf,-0.5,-2.94,-6.91,0.64,0.36,3.63,31.9,44.4,18.91,19.38,7.44,4.74,5.85,0.24,17.18,2.03
2020,9.64,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.34,-1.52,-2.9,0.63,0.37,3.56,32.32,64.91,33.94,13.11,4.5,2.85,8.53,0.22,13.76,5.78
2021,1.46,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.54,-0.85,-1.06,0.62,0.38,3.26,33.95,147.24,117.16,80.03,34.68,21.6,29.1,0.27,30.52,56.7
2022,12.65,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.06,-0.24,-0.31,0.5,0.5,1.72,49.32,43.9,33.31,17.62,9.33,4.63,8.91,0.26,34.1,1.41
2023,15.08,7.86,0.73,inf,4.16,1.38,0.36,2.43,-0.57,inf,3.84,1.44,15.46,-0.11,-0.06,inf,-0.31,0.5,0.5,1.72,49.32,inf,33.31,17.62,9.33,4.63,8.91,0.26,34.1,1.41
