,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,11.11,5.75,0.87,inf,2.87,0.48,0.32,-9.88,-0.43,inf,4.56,1.56,10.27,0.06,0.52,inf,1.7,0.37,0.5,0.88,20.25,inf,16.77,8.36,15.2,5.64,11.52,0.68,13.99,1.34
2015,1.36,4.53,0.99,inf,2.4,0.56,0.31,6.11,-0.42,inf,4.51,2.66,12.2,0.06,0.87,inf,2.11,0.32,0.59,1.24,21.75,inf,23.28,12.34,21.78,6.88,14.86,0.56,13.71,16.79
2016,8.59,9.58,0.85,inf,3.89,0.68,0.33,9.28,-0.44,inf,6.05,1.4,15.79,-0.2,0.47,inf,2.16,0.39,0.53,1.17,23.12,inf,17.53,7.12,8.86,3.46,10.19,0.49,10.42,6.24
2017,0.86,13.89,1.08,inf,5.34,0.69,0.41,9.16,-0.56,inf,8.06,1.01,12.99,-1.69,0.55,inf,2.73,0.38,0.56,1.21,18.83,inf,12.9,4.96,7.76,2.97,8.19,0.6,13.83,12.24
2018,8.2,7.03,1.05,inf,4.14,0.65,0.39,3.65,-0.57,inf,6.49,2.1,14.05,0.07,0.6,inf,2.35,0.37,0.58,1.54,18.8,inf,15.64,9.2,14.93,5.59,10.4,0.61,14.28,27.64
2019,2.04,10.02,1.45,4.5,5.68,0.88,0.49,8.43,-0.67,6.4,8.09,2.2,15.21,inf,0.62,1.91,2.41,0.34,0.62,1.28,19.38,19.59,15.5,8.79,14.5,4.87,10.19,0.55,11.35,12.47
2020,0.99,7.91,1.18,3.44,4.24,0.8,0.39,-20.21,-0.52,5.22,6.42,2.49,16.68,inf,0.61,1.78,2.18,0.33,0.63,0.93,24.1,23.1,18.78,10.06,14.9,4.98,10.67,0.49,7.87,3.56
2021,4.78,5.63,1.09,2.67,3.19,0.64,0.36,4.22,-0.52,4.4,5.25,3.72,19.19,inf,0.71,1.73,2.07,0.33,0.63,1.41,21.81,24.14,20.22,11.44,19.37,6.47,13.84,0.57,15.05,26.51
2022,10.55,11.83,1.02,2.88,3.54,0.7,0.33,10.49,-0.45,5.22,6.42,1.76,20.47,-0.22,0.92,2.34,2.88,0.29,0.68,1.13,30.27,24.31,19.77,5.91,9.52,2.76,10.33,0.47,6.98,10.79
2023,11.44,12.71,1.09,3.09,3.8,0.75,0.35,11.27,-0.49,5.43,6.68,1.76,20.47,-0.24,0.83,2.34,2.88,0.32,0.68,1.13,30.27,24.31,19.77,5.91,8.59,2.76,10.33,0.47,6.98,10.79
