,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-0.38,0.51,-0.67,-1.21,0.32,0.08,-0.22,-0.1,-6.4,-11.56,-1.04,0.78,-0.01,4.41,-5.73,-10.35,0.16,0.83,0.26,12.17,-48.61,-26.9,-84.38,-133.64,-21.54,-7.62,0.26,94.92,inf
2015,inf,0.82,0.03,0.49,0.91,0.08,0.01,-0.23,-0.02,16.96,31.42,0.17,4.27,-0.01,1.1,16.47,30.52,0.42,0.58,0.64,26.33,15.84,8.55,9.39,3.98,1.68,1.33,0.18,72.84,inf
2016,inf,-17.81,0.43,inf,3.44,0.89,0.19,-3.92,-0.21,inf,11.14,-0.67,27.78,0.1,0.96,inf,7.71,0.43,0.57,0.72,33.87,inf,25.92,-5.0,-2.41,-1.04,4.64,0.21,66.62,inf
2017,inf,34.81,0.62,inf,4.71,1.22,0.3,4.58,-0.37,inf,9.49,0.4,22.54,-0.18,0.63,inf,4.78,0.49,0.51,1.63,40.79,inf,25.93,3.51,1.77,0.88,6.32,0.25,123.52,inf
2018,inf,5.71,0.8,inf,4.53,1.62,0.41,4.34,-0.5,inf,7.94,2.82,19.99,0.01,0.6,inf,3.4,0.51,0.49,2.19,40.08,inf,35.73,28.37,14.1,7.22,7.37,0.25,16.81,inf
2019,inf,22.91,1.99,9.45,14.24,4.39,0.99,9.34,-1.25,12.03,18.14,1.91,21.91,inf,0.55,2.59,3.9,0.5,0.5,2.09,39.45,46.43,30.81,19.15,8.7,4.33,7.42,0.23,11.78,inf
2020,inf,19.47,2.47,12.27,17.56,6.05,1.21,10.52,-1.48,15.49,22.17,3.19,25.12,inf,0.65,3.22,4.61,0.49,0.51,2.75,46.19,49.3,34.43,31.07,12.7,6.21,6.19,0.2,16.39,47.85
2021,inf,15.27,1.99,8.14,11.26,3.5,0.98,10.22,-1.19,10.9,15.07,0.93,7.11,inf,0.67,2.76,3.81,0.49,0.51,2.22,37.91,42.94,31.06,22.9,13.04,6.43,8.12,0.28,18.85,inf
2022,inf,50.3,1.38,8.91,14.72,3.08,0.45,33.95,-0.52,16.65,27.53,0.24,8.67,-0.74,1.2,7.75,12.8,0.33,0.67,1.11,30.63,34.63,20.95,6.13,2.75,0.9,3.55,0.15,17.63,31.52
2023,inf,44.15,1.21,7.82,12.92,2.71,0.4,29.8,-0.46,15.56,25.73,0.24,8.67,-0.65,1.2,7.75,12.8,0.33,0.67,1.11,30.63,34.63,20.95,6.13,2.74,0.9,3.55,0.15,17.63,31.52
