,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,5.02,12.21,1.82,2.16,3.44,0.41,0.18,2.72,-0.3,5.74,9.15,1.13,7.56,0.31,3.01,3.58,5.7,0.1,0.84,1.21,21.09,19.08,11.97,3.37,14.9,1.51,9.5,0.45,33.01,0.26
2015,6.75,10.73,1.58,inf,3.15,0.29,0.19,3.0,-0.28,inf,8.68,1.3,8.88,0.68,2.77,inf,5.53,0.12,0.82,1.25,15.53,inf,9.1,2.67,14.69,1.76,9.34,0.66,41.4,10.79
2016,2.16,32.1,1.35,inf,4.45,0.42,0.25,3.72,-0.36,inf,8.96,0.58,13.77,-0.61,1.37,inf,4.52,0.18,0.76,1.27,15.47,inf,9.45,1.31,4.2,0.77,8.24,0.59,37.23,-6.11
2017,2.07,16.91,2.46,inf,7.59,0.69,0.43,6.98,-0.63,inf,12.58,1.61,11.11,0.06,1.62,inf,4.99,0.17,0.78,1.24,13.84,inf,9.13,4.1,14.53,2.53,8.85,0.62,36.11,13.95
2018,2.1,11.18,2.38,inf,4.48,0.81,0.35,3.67,-0.51,inf,8.47,3.32,15.57,0.11,2.13,inf,3.99,0.15,0.83,1.46,15.87,inf,18.17,7.27,21.31,3.15,9.8,0.43,41.28,41.65
2019,2.02,42.66,3.41,5.55,8.29,0.98,0.49,8.36,-0.66,9.68,14.46,1.25,15.7,inf,2.53,4.13,6.16,0.14,0.84,1.31,16.34,17.58,11.77,2.29,7.99,1.16,8.0,0.51,19.08,10.18
2020,1.15,12.94,2.86,4.73,7.03,0.93,0.42,15.93,-0.59,8.25,12.28,4.05,18.32,inf,2.13,3.53,5.25,0.15,0.84,1.1,17.99,19.77,13.29,7.23,22.09,3.22,7.85,0.45,10.79,35.22
2021,8.9,6.21,1.91,2.72,3.48,0.61,0.29,5.73,-0.41,5.64,7.21,7.14,23.24,inf,2.15,2.92,3.73,0.15,0.82,1.27,21.52,22.35,17.47,9.79,32.24,4.73,11.99,0.48,17.52,75.71
2022,2.62,8.44,1.44,2.58,3.15,0.68,0.3,12.02,-0.4,5.79,7.08,5.24,30.61,-0.48,2.04,3.21,3.93,0.18,0.79,1.11,27.13,26.4,21.59,8.06,19.38,3.58,12.31,0.44,14.21,30.76
2023,4.88,7.67,1.31,2.34,2.86,0.62,0.27,10.93,-0.36,5.55,6.79,5.24,30.61,-0.32,1.8,3.21,3.93,0.21,0.79,1.11,27.13,26.4,21.59,8.06,17.11,3.58,12.31,0.44,14.21,30.76
