,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,20.68,3.42,0.57,1.62,2.28,0.3,0.32,1.67,-0.58,2.07,2.9,0.95,5.75,-0.2,0.15,0.44,0.62,0.57,0.43,1.79,39.29,18.32,13.07,8.71,16.54,9.48,12.89,1.09,10.89,3.1
2015,14.59,12.72,0.75,2.35,4.06,0.38,0.4,1.81,-0.72,3.26,5.63,0.16,2.79,-0.19,0.29,0.91,1.57,0.54,0.46,2.0,38.65,16.33,9.45,3.02,5.88,3.15,7.93,1.04,5.14,-22.03
2016,inf,-6.27,0.51,3.89,-32.66,0.29,0.28,1.26,-0.49,5.81,-48.77,-0.21,2.57,0.03,0.25,1.92,-16.11,0.55,0.45,2.11,30.92,7.33,-0.87,-4.55,-8.2,-4.47,-2.94,0.98,0.18,inf
2017,inf,-0.6,0.97,-1.0,-0.72,0.25,0.29,1.11,-0.62,-1.42,-1.02,-1.54,0.95,0.0,0.4,-0.42,-0.3,0.3,0.7,2.0,24.61,-24.67,-34.32,-41.52,-162.1,-49.04,-97.01,1.18,-5.98,inf
2018,inf,-3.36,40.99,-6.54,-4.73,0.93,0.88,14.7,-1.68,-8.13,-5.88,-0.83,0.07,0.07,9.96,-1.59,-1.15,0.02,0.98,1.14,19.39,-14.27,-19.72,-27.82,inf,-26.24,-85.16,0.94,-10.92,inf
2019,inf,-10.05,-45.04,2.81,3.4,0.26,0.23,31.92,-0.41,5.12,6.18,-0.42,-0.09,inf,inf,2.31,2.79,-0.01,1.01,1.02,14.03,9.24,7.65,-2.59,-448.16,-2.32,-17.75,0.9,-12.96,inf
2020,inf,4.12,3.04,3.14,3.47,0.96,0.88,2.47,-2.52,3.07,3.39,3.07,4.16,inf,-0.07,-0.07,-0.08,0.29,0.71,2.2,33.27,30.42,27.6,23.23,73.87,21.3,54.62,0.92,-6.86,40.09
2021,1.15,4.81,2.3,3.58,3.75,1.15,1.28,2.44,-4.77,3.08,3.22,4.36,9.12,inf,-0.32,-0.5,-0.53,0.56,0.44,3.54,43.72,32.24,30.78,23.98,47.83,26.62,44.62,1.11,6.3,inf
2022,9.38,4.8,0.98,3.32,3.74,0.56,0.54,1.53,-1.3,3.18,3.58,2.23,10.95,-0.1,-0.04,-0.14,-0.16,0.55,0.45,2.52,31.32,16.74,14.87,11.59,20.35,11.26,19.62,0.97,12.27,inf
2023,6.51,4.2,0.86,2.91,3.27,0.49,0.47,1.34,-1.14,2.77,3.12,2.23,10.95,-0.09,-0.04,-0.14,-0.16,0.55,0.45,2.52,31.32,16.74,14.87,11.59,20.35,11.26,19.62,0.97,12.27,inf
