,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,12.55,inf,0.2,inf,2.22,0.6,0.4,0.98,30.47,inf,9.3,2.46,2.36,1.41,6.28,0.57,10.83,-32.76
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.11,12.67,inf,0.25,inf,2.9,0.58,0.42,0.85,29.09,inf,8.93,0.92,0.9,0.52,5.32,0.57,7.56,-38.56
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.36,12.97,inf,0.27,inf,4.17,0.6,0.4,0.87,27.88,inf,6.69,2.93,2.8,1.67,4.77,0.57,4.94,-17.56
2017,0.7,15.44,0.52,inf,7.85,0.54,0.32,-8.18,-0.41,inf,9.6,0.45,13.36,0.62,0.27,inf,4.01,0.61,0.39,0.86,27.34,inf,6.84,3.48,3.39,2.06,4.52,0.59,4.58,-13.85
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.31,13.64,inf,0.33,inf,3.81,0.57,0.43,0.97,28.53,inf,8.65,2.29,2.29,1.32,5.86,0.57,2.45,-20.08
2019,0.06,90.11,4.46,22.2,44.61,3.88,2.57,68.31,-3.67,10.96,22.02,0.71,14.32,inf,0.31,1.56,3.13,0.58,0.42,1.14,28.05,17.47,8.7,4.3,4.95,2.86,5.85,0.66,6.48,19.12
2020,inf,14.9,1.45,7.79,11.06,1.2,0.79,12.92,-1.19,5.74,8.14,1.56,15.99,inf,0.28,1.53,2.17,0.54,0.46,1.22,31.45,15.34,10.81,8.02,9.73,5.27,4.85,0.66,9.47,68.84
2021,5.29,2.57,0.58,1.7,2.0,0.45,0.32,2.52,-0.5,2.0,2.35,4.62,20.39,inf,0.2,0.59,0.69,0.54,0.46,1.53,35.4,26.41,22.44,17.47,22.67,12.32,18.76,0.7,16.44,66.37
2022,inf,4.3,0.55,2.27,2.86,0.44,0.3,2.39,-0.48,2.92,3.68,2.78,21.73,-0.11,0.26,1.09,1.37,0.55,0.45,1.52,32.26,19.41,15.41,10.26,12.79,6.99,12.21,0.68,15.81,43.76
2023,7.52,3.44,0.44,1.82,2.29,0.35,0.24,1.91,-0.38,2.9,3.65,2.78,21.73,-0.09,0.26,1.09,1.37,0.55,0.45,1.52,32.26,19.41,15.41,10.26,12.79,6.99,12.21,0.68,15.81,43.76
