,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,3.19,8.4,0.6,inf,10.33,0.93,0.53,1.35,-0.98,inf,inf,1.04,14.42,0.34,-0.18,inf,-3.16,0.87,0.13,5.96,22.18,inf,8.97,11.04,7.18,6.25,4.85,0.57,12.94,25.76
2015,13.0,3.6,0.47,inf,2.89,0.67,0.38,1.38,-0.65,inf,2.85,1.96,15.12,0.04,-0.05,inf,-0.3,0.81,0.19,3.0,37.87,inf,23.04,18.5,12.98,10.53,14.58,0.57,6.82,5.31
2016,10.27,9.84,0.51,inf,142.37,0.63,0.41,1.41,-0.69,inf,116.56,0.79,15.31,-0.16,-0.18,inf,-49.29,0.82,0.18,3.79,15.85,inf,0.44,6.35,5.15,4.2,-1.68,0.66,11.28,-5.12
2017,6.11,6.7,1.19,inf,7.35,1.63,0.97,2.51,-1.87,inf,5.35,3.06,17.18,0.02,-0.3,inf,-1.82,0.82,0.18,5.25,35.34,inf,22.19,24.34,17.79,14.54,13.05,0.6,9.4,25.9
2018,5.73,5.85,1.04,inf,4.81,1.31,0.68,3.28,-0.98,inf,5.39,3.5,19.74,0.41,0.06,inf,0.28,0.66,0.34,3.12,34.95,inf,27.19,22.36,17.71,11.61,15.6,0.52,11.54,33.26
2019,6.74,7.99,0.96,6.16,9.86,1.38,0.64,4.04,-0.86,8.65,13.83,2.5,20.74,inf,0.17,1.12,1.79,0.67,0.33,2.71,20.2,22.41,14.01,17.29,12.07,8.05,6.23,0.47,9.09,19.33
2020,4.86,24.19,0.96,4.21,6.05,1.04,0.6,4.82,-0.83,5.72,8.22,0.79,19.99,inf,0.14,0.61,0.88,0.63,0.37,1.83,27.37,24.72,17.19,4.3,3.95,2.48,12.04,0.58,11.62,-16.63
2021,1.72,6.71,1.82,4.7,5.38,1.8,1.27,4.65,-2.16,4.75,5.44,7.28,26.83,inf,-0.08,-0.21,-0.25,0.7,0.3,2.95,43.25,38.35,33.52,26.9,27.13,18.93,26.74,0.7,16.87,55.97
2022,10.18,4.45,1.55,3.68,4.07,1.5,1.16,3.97,-1.99,3.42,3.78,12.03,34.43,0.07,-0.17,-0.41,-0.46,0.75,0.25,3.35,46.29,40.85,36.99,33.84,34.95,26.12,28.98,0.77,23.14,31.53
2023,10.14,4.41,1.54,3.65,4.03,1.49,1.15,3.94,-1.97,3.34,3.69,12.03,34.43,0.07,-0.17,-0.41,-0.46,0.75,0.25,3.35,46.29,40.85,36.99,33.84,34.93,26.12,28.98,0.77,23.14,31.53
