,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,32.08,0.57,inf,0.9,0.04,0.08,-0.47,-0.23,inf,4.48,0.16,9.19,-0.26,2.29,inf,3.58,0.13,0.87,0.8,12.3,inf,4.77,0.13,1.79,0.24,15.89,1.8,13.27,-33.6
2015,inf,-0.22,0.3,inf,0.49,0.01,0.02,-0.06,-0.05,inf,11.3,-6.24,4.57,0.0,6.46,inf,10.81,0.07,0.93,0.62,8.74,inf,2.33,-5.33,-136.56,-10.08,-1.68,1.89,12.37,inf
2016,inf,2.56,0.38,inf,0.56,0.02,0.04,-0.14,-0.09,inf,5.56,0.8,5.37,-0.02,3.42,inf,5.0,0.1,0.9,0.67,12.27,inf,3.81,0.83,14.93,1.51,13.46,1.82,2.01,-7.53
2017,inf,-1.09,0.84,inf,3.51,0.03,0.05,-0.13,-0.1,inf,33.26,-2.33,3.04,0.0,7.11,inf,29.75,0.06,0.94,0.61,9.6,inf,0.82,-2.62,-76.77,-4.26,-2.02,1.63,-2.12,inf
2018,inf,-0.31,-0.39,inf,-1.24,0.07,0.13,-0.17,-0.28,inf,-6.26,-14.48,-11.55,0.0,inf,inf,-5.02,-0.34,1.34,0.4,5.04,inf,-5.31,-21.13,-125.37,-42.7,-117.43,2.02,-7.43,inf
2019,inf,0.3,6.19,-1.59,-1.27,0.16,0.12,0.76,-0.24,-2.75,-2.2,12.13,0.58,inf,4.54,-1.16,-0.93,0.02,0.98,1.51,6.62,-10.37,-12.94,55.29,inf,41.34,-208.93,0.75,-27.63,141.43
2020,inf,-0.8,-1.08,0.87,1.03,0.07,0.09,0.65,-0.18,2.34,2.76,-3.7,-2.75,inf,inf,1.47,1.73,-0.08,1.08,1.35,14.36,8.25,6.99,-9.0,-134.47,-11.0,93.4,1.22,-18.89,inf
2021,inf,1.48,1.91,1.14,1.17,0.23,0.34,1.16,-1.18,1.68,1.73,12.39,9.64,inf,0.91,0.54,0.56,0.18,0.82,1.72,23.29,20.28,19.63,15.55,128.53,23.16,80.72,1.49,-3.75,72.89
2022,inf,2.65,2.1,1.99,2.13,0.16,0.3,1.1,-1.25,2.41,2.57,6.53,8.21,0.11,0.43,0.41,0.44,0.14,0.86,1.57,11.31,8.06,7.54,6.08,79.53,11.49,52.74,1.89,-3.75,52.1
2023,inf,2.68,2.13,2.02,2.16,0.16,0.31,1.12,-1.27,2.43,2.6,6.53,8.21,0.11,0.43,0.41,0.44,0.14,0.86,1.57,11.31,8.06,7.54,6.08,79.53,11.49,52.74,1.89,-3.75,52.1
