,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,2.67,11.39,1.26,4.9,7.69,0.67,0.54,1.66,-1.2,6.31,9.91,0.36,3.27,0.91,0.36,1.42,2.22,0.43,0.57,2.49,26.76,13.68,8.71,5.89,11.03,4.78,6.66,0.81,12.3,2.32
2015,3.49,9.11,1.1,3.88,5.87,0.54,0.49,1.93,-1.04,5.23,7.92,0.42,3.46,0.57,0.38,1.35,2.04,0.45,0.55,1.92,29.21,13.99,9.24,5.96,12.07,5.37,8.09,0.9,11.42,1.52
2016,2.49,8.4,0.7,4.37,6.46,0.66,0.45,0.97,-1.33,2.15,3.18,0.51,6.18,0.36,-0.36,-2.22,-3.28,0.64,0.36,3.31,28.55,15.22,10.29,7.91,8.33,5.35,6.01,0.68,8.29,7.86
2017,5.53,7.75,0.64,4.66,7.61,0.6,0.37,1.11,-1.01,2.23,3.64,0.69,8.43,-23.05,-0.33,-2.43,-3.97,0.58,0.42,2.07,26.08,12.78,7.83,7.69,8.2,4.72,4.57,0.61,4.67,20.96
2018,5.03,4.56,0.53,2.32,3.05,0.37,0.28,1.04,-0.57,3.09,4.06,1.01,8.72,0.1,0.17,0.77,1.01,0.53,0.46,2.1,26.61,16.1,12.25,8.18,11.56,6.11,10.52,0.75,9.73,18.46
2019,5.24,14.31,0.69,3.21,4.95,0.39,0.33,1.36,-0.59,4.3,6.63,0.4,8.25,inf,0.23,1.09,1.68,0.47,0.52,2.14,25.61,12.04,7.81,2.7,4.83,2.28,5.9,0.84,12.3,-3.9
2020,1.73,11.69,2.33,6.98,9.17,1.32,0.76,3.5,-1.53,8.45,11.1,0.87,4.34,inf,0.49,1.46,1.92,0.33,0.67,1.77,28.72,18.87,14.36,11.27,19.96,6.52,8.91,0.58,13.81,29.28
2021,2.15,14.35,2.77,8.24,11.01,1.17,0.98,3.85,-2.06,9.91,13.24,0.97,5.04,inf,0.56,1.66,2.22,0.36,0.64,1.95,28.98,14.24,10.66,8.18,19.28,6.85,12.48,0.84,26.01,26.86
2022,3.66,12.67,1.46,5.99,7.79,0.85,0.69,1.82,-1.76,5.67,7.37,0.76,6.59,-4.19,-0.08,-0.32,-0.42,0.47,0.53,2.66,29.54,14.16,10.89,6.7,11.61,5.44,10.65,0.81,29.71,26.17
2023,3.78,12.25,1.41,5.79,7.53,0.82,0.67,1.76,-1.7,5.47,7.11,0.76,6.59,-4.05,-0.08,-0.32,-0.42,0.47,0.53,2.66,29.54,14.16,10.89,6.7,11.52,5.44,10.65,0.81,29.71,26.17
