,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,3.65,-22.52,0.31,inf,10.46,0.61,0.13,0.4,-0.38,inf,26.05,-0.1,7.01,0.21,0.47,inf,15.59,0.42,0.58,2.07,26.31,inf,5.8,-2.69,-1.39,-0.59,1.47,0.22,-12.16,inf
2015,inf,12.34,0.3,inf,10.7,0.64,0.14,0.41,-0.38,inf,27.46,0.2,8.19,-0.04,0.46,inf,16.76,0.46,0.54,2.11,26.43,inf,5.95,5.16,2.41,1.1,1.62,0.21,-15.76,-22.4
2016,2.59,-0.6,0.36,inf,-1.48,0.77,0.14,0.63,-0.39,inf,-4.38,-3.08,5.1,0.0,0.72,inf,-2.91,0.37,0.63,1.48,-12.4,inf,-52.01,-127.07,-60.34,-22.33,-16.15,0.18,-20.81,inf
2017,inf,-0.75,0.76,inf,-0.74,0.73,0.2,1.1,-0.5,inf,-1.98,-27.11,26.95,0.02,1.27,inf,-1.24,0.26,0.74,1.38,-15.3,inf,-98.52,-96.7,-100.62,-26.41,-42.78,0.27,-22.46,inf
2018,inf,-1.8,1.54,inf,-2.09,0.79,0.3,1.17,-0.9,inf,-4.16,-9.37,10.98,0.04,1.53,inf,-2.08,0.19,0.8,1.62,11.94,inf,-37.73,-43.66,-85.39,-16.61,-27.79,0.38,-17.28,inf
2019,inf,-75.71,1.16,35.35,101.54,2.6,0.41,1.9,-1.38,46.1,132.42,-0.11,7.45,inf,0.35,10.75,30.88,0.35,0.65,1.44,29.41,7.35,2.56,-3.43,-1.54,-0.54,-1.54,0.16,-24.01,inf
2020,inf,-17.09,0.84,91.97,363.01,1.48,0.35,1.22,-1.08,114.39,451.5,-0.25,5.2,inf,0.2,22.42,88.48,0.42,0.58,1.73,20.5,1.61,0.41,-8.66,-4.9,-2.04,-0.16,0.24,-9.34,inf
2021,inf,8.35,0.37,3.47,3.22,0.83,0.14,0.44,-0.37,8.37,7.76,0.24,5.38,inf,0.53,4.9,4.54,0.38,0.62,2.13,25.5,23.87,25.74,9.93,4.48,1.72,3.71,0.17,-2.22,inf
2022,inf,-12.3,0.22,2.52,3.46,0.36,0.06,0.19,-0.2,13.52,18.56,-0.81,45.97,0.08,0.94,11.0,15.11,0.3,0.7,1.93,16.71,14.43,10.51,-2.95,-1.75,-0.52,-0.03,0.18,-2.22,inf
2023,inf,-10.04,0.18,2.06,2.82,0.3,0.05,0.16,-0.16,13.06,17.93,-0.6,34.05,0.07,0.94,11.0,15.11,0.3,0.7,1.93,16.71,14.43,10.51,-2.95,-1.75,-0.52,-0.03,0.18,-2.22,inf
