,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,3.05,11.74,0.51,3.21,5.68,0.39,0.26,1.28,-0.39,5.71,10.09,0.82,18.73,-1.03,0.42,2.67,4.72,0.51,0.47,2.66,12.08,12.05,6.81,3.3,4.36,2.23,5.21,0.67,9.9,4.57
2015,4.73,-1.76,0.25,-13.16,-2.49,0.18,0.11,0.56,-0.17,-44.22,-8.36,-2.65,18.43,0.0,0.62,-32.16,-6.08,0.45,0.54,2.82,9.85,-1.39,-7.38,-10.44,-14.36,-6.49,-8.07,0.62,6.78,inf
2016,0.46,-6.42,0.77,20.36,-11.35,0.49,0.34,2.02,-0.5,34.42,-19.19,-1.68,13.97,0.18,0.6,15.89,-8.86,0.44,0.56,2.06,9.2,2.42,-4.35,-7.68,-12.03,-5.29,-4.33,0.69,1.24,inf
2017,0.4,-59.24,0.9,6.6,19.35,0.58,0.42,2.07,-0.66,10.31,30.24,-0.21,13.75,0.68,0.56,4.07,11.94,0.47,0.52,2.33,9.76,8.74,2.98,-0.97,-1.52,-0.71,1.99,0.73,-0.57,inf
2018,2.56,11.06,0.99,4.3,6.3,0.55,0.5,2.83,-0.75,6.0,8.79,1.34,14.96,-0.01,0.45,1.95,2.86,0.5,0.49,2.06,13.32,12.84,8.77,4.99,8.95,4.49,9.5,0.9,2.98,7.78
2019,1.4,28.57,1.28,6.52,10.8,0.87,0.64,3.18,-0.96,8.05,13.35,0.7,15.68,inf,0.36,1.85,3.06,0.5,0.5,2.46,10.6,13.31,8.03,3.04,4.47,2.23,6.31,0.73,-1.4,-3.02
2020,1.31,17.77,1.36,5.58,8.09,0.96,0.67,3.53,-1.06,6.57,9.53,1.38,17.95,inf,0.32,1.31,1.9,0.49,0.51,2.04,13.54,17.21,11.86,5.4,7.67,3.75,8.41,0.69,0.11,inf
2021,11.26,3.03,1.1,2.03,2.23,0.6,0.64,2.52,-1.14,2.22,2.44,9.01,24.77,inf,0.17,0.31,0.34,0.58,0.42,2.33,26.57,29.51,26.83,19.78,36.37,20.99,28.69,1.06,15.78,inf
2022,12.36,4.3,1.06,2.52,2.77,0.6,0.67,2.76,-1.16,2.75,3.02,6.83,27.67,-0.16,0.16,0.37,0.4,0.62,0.37,2.32,22.75,23.62,21.54,13.86,24.78,15.48,22.7,1.12,17.42,inf
2023,14.35,3.89,0.96,2.28,2.5,0.54,0.6,2.5,-1.04,2.56,2.81,6.5,26.35,-0.15,0.15,0.37,0.4,0.63,0.37,2.32,22.75,23.62,21.54,13.86,24.68,15.48,22.7,1.12,17.42,inf
