,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,5.14,9.39,1.99,10.53,11.82,2.06,1.72,2.83,-5.93,9.41,10.56,1.63,7.7,0.72,-0.21,-1.12,-1.26,0.86,0.13,6.76,45.94,19.56,17.44,21.95,21.17,18.28,13.99,0.83,8.94,12.49
2015,4.1,9.19,1.94,11.15,12.64,2.3,1.66,3.26,-4.45,10.25,11.63,1.83,8.7,0.74,-0.15,-0.89,-1.01,0.86,0.14,5.38,48.48,20.63,18.19,25.02,21.07,18.1,12.62,0.72,6.54,12.03
2016,5.93,8.33,1.81,11.56,13.23,2.59,1.62,2.38,-6.95,8.97,10.27,2.11,9.72,0.55,-0.4,-2.59,-2.96,0.9,0.1,9.05,48.73,22.37,19.54,31.02,21.71,19.5,11.99,0.63,6.64,15.74
2017,4.4,12.94,2.66,16.26,18.38,3.8,2.39,3.39,-11.73,13.51,15.27,2.2,10.7,3.11,-0.45,-2.74,-3.1,0.9,0.1,8.84,48.88,23.37,20.67,29.35,20.54,18.48,12.64,0.63,3.65,9.03
2018,10.84,12.63,2.14,14.15,16.19,3.17,1.92,2.89,-7.95,11.45,13.1,0.65,3.84,-1.11,-0.41,-2.7,-3.09,0.9,0.1,7.99,47.4,22.4,19.58,25.09,16.9,15.17,11.79,0.6,1.3,6.19
2019,2.61,22.38,3.01,25.72,31.34,5.35,2.73,4.7,-7.86,23.03,28.06,0.55,4.08,inf,-0.31,-2.69,-3.27,0.91,0.09,8.91,45.61,20.8,17.07,23.9,13.44,12.18,8.21,0.51,-1.5,0.19
2020,2.0,18.66,1.79,19.42,25.1,3.99,1.62,2.65,-5.13,15.82,20.45,0.45,4.69,inf,-0.33,-3.6,-4.66,0.9,0.1,9.12,46.1,20.52,15.88,21.36,9.58,8.67,6.18,0.41,-2.95,-5.97
2021,10.01,12.98,1.91,16.1,19.83,3.33,1.71,2.91,-5.22,13.79,16.99,0.67,4.54,inf,-0.27,-2.31,-2.84,0.9,0.1,8.02,43.97,20.69,16.8,25.66,14.68,13.2,8.03,0.51,2.75,-1.08
2022,5.07,9.58,1.25,15.08,22.75,2.17,1.13,2.12,-2.93,12.23,18.44,0.63,4.84,-1.75,-0.24,-2.86,-4.31,0.91,0.09,7.28,40.11,14.35,9.52,22.61,13.02,11.78,5.14,0.52,2.21,-2.98
2023,4.25,11.42,1.49,17.99,27.13,2.58,1.35,2.53,-3.5,15.13,22.82,0.63,4.84,-2.08,-0.24,-2.86,-4.31,0.91,0.09,7.28,40.11,14.35,9.52,22.61,13.02,11.78,5.14,0.52,2.21,-2.98
